Station.Name,Dates,Province,ID,Parameter,Latitude,Longitude,Area_km2
ADAMS LAKE NEAR SQUILAX,1949-2021,BC,08LD003,Level,"50°57'12"" N","119°40'31"" W",
ADAMS RIVER NEAR SQUILAX,1911-2021,BC,08LD001,Flow and Level,"50°56'15"" N","119°39'22"" W","3,210"
ADSETT CREEK AT KILOMETRE 386.0 ALASKA HIGHWAY,1983-2021,BC,10CD005,Flow and Level,"58°06'21"" N","122°42'56"" W",109
AKIE RIVER NEAR THE 760 M CONTOUR,1981-2021,BC,07EA007,Flow and Level,"57°11'28"" N","124°54'04"" W","1,690"
ALBERT RIVER AT 1310 M CONTOUR,1972-1999,BC,08NF005,Flow,"50°39'35"" N","115°31'48"" W",69.7
ALCES RIVER AT 22ND BASE LINE,1963-2016,BC,07FD004,Flow and Level,"56°20'03"" N","120°09'18"" W",295
AMBUSTEN CREEK NEAR THE MOUTH,1977-1998,BC,08LF081,Flow,"50°44'13"" N","121°34'34"" W",32.9
ANDERSON CREEK ABOVE DIVERSIONS,1978-1998,BC,08LF084,Flow,"50°43'35"" N","121°38'07"" W",31.9
ANDERSON CREEK AT THE MOUTH,1965-1987,BC,08MH104,Flow,"49°05'34"" N","122°40'58"" W",27.2
ANDERSON CREEK NEAR NELSON,1945-2022,BC,08NJ130,Flow and Level,"49°30'07"" N","117°15'40"" W",9.07
ANSEDAGAN CREEK NEAR NEW AIYANSH,1997-2022,BC,08DB013,Flow and Level,"55°07'47"" N","129°21'17"" W",26
ARROW CREEK NEAR ERICKSON,1945-2022,BC,08NH084,Flow and Level,"49°09'32"" N","116°27'08"" W",78.3
ARROWSTONE CREEK NEAR THE MOUTH,2001-2020,BC,08LF099,Flow and Level,"50°50'08"" N","121°14'23"" W",50.5
ASHNOLA RIVER NEAR KEREMEOS,1914-2021,BC,08NL004,Flow and Level,"49°12'27"" N","119°59'36"" W","1,050"
ATLIN LAKE AT ATLIN,1950-2021,BC,09AA001,Level,"59°34'21"" N","133°42'19"" W",
ATLIN RIVER NEAR ATLIN,1950-2019,BC,09AA006,Flow and Level,"59°35'43"" N","133°48'51"" W","6,860"
ATNARKO RIVER NEAR THE MOUTH,1965-2021,BC,08FB006,Flow and Level,"52°21'36"" N","126°00'21"" W","2,550"
BABINE LAKE AT TOPLEY LANDING,1955-2022,BC,08EC003,Level,"54°49'20"" N","126°09'14"" W",
BABINE RIVER AT BABINE,1929-2021,BC,08EC001,Flow and Level,"55°19'21"" N","126°37'47"" W","6,350"
BABINE RIVER AT OUTLET OF NILKITKWA LAKE,1972-2022,BC,08EC013,Flow and Level,"55°25'35"" N","126°41'51"" W","6,760"
BAEZAEKO RIVER AT LOT 10262,1974-1995,BC,08KG003,Flow,"52°59'10"" N","123°48'10"" W",992
BAKER CREEK AT QUESNEL,1963-2022,BC,08KE016,Flow and Level,"52°58'26"" N","122°30'34"" W","1,550"
BARNES CREEK NEAR NEEDLES,1950-2020,BC,08NE077,Flow and Level,"49°54'18"" N","118°07'31"" W",204
BARRIERE RIVER AT THE MOUTH,1915-2021,BC,08LB020,Flow and Level,"51°11'16"" N","120°07'35"" W","1,140"
BARRIERE RIVER BELOW SPRAGUE CREEK,1964-2021,BC,08LB069,Flow and Level,"51°14'43"" N","119°56'15"" W",624
BEAK CREEK AT THE MOUTH,1982-2001,BC,08LG064,Flow,"50°06'40"" N","119°58'57"" W",85
BEAR RIVER ABOVE BITTER CREEK,1967-1999,BC,08DC006,Flow,"56°02'34"" N","129°55'30"" W",350
BEATON CREEK NEAR BEATON,1952-2021,BC,08NE008,Flow and Level,"50°44'04"" N","117°43'45"" W",96.7
BEATTON RIVER NEAR FORT ST. JOHN,1961-2021,BC,07FC001,Flow and Level,"56°16'42"" N","120°41'59"" W","15,600"
BEAVER RIVER NEAR THE MOUTH,1985-2020,BC,08NB019,Flow and Level,"51°30'32"" N","117°27'55"" W","1,150"
BELLA COOLA RIVER ABOVE BURNT BRIDGE CREEK,1965-2010,BC,08FB007,Flow,"52°25'20"" N","126°09'29"" W","3,720"
BELLA COOLA RIVER NEAR HAGENSBORG,1947-1968,BC,08FB002,Flow,"52°26'32"" N","126°19'56"" W","4,040"
BELLEVUE CREEK NEAR OKANAGAN MISSION,1920-1986,BC,08NM035,Flow,"49°47'38"" N","119°27'39"" W",73.3
BIG CREEK ABOVE GROUNDHOG CREEK,1974-2021,BC,08MB006,Flow and Level,"51°31'25"" N","123°06'57"" W","1,010"
BIG CREEK BELOW GRAVEYARD CREEK,1974-2021,BC,08MB007,Flow and Level,"51°15'14"" N","123°06'16"" W",232
BIG SHEEP CREEK NEAR ROSSLAND,1929-2022,BC,08NE039,Flow and Level,"49°00'52"" N","117°56'43"" W",347
BINGS CREEK NEAR THE MOUTH,1961-2022,BC,08HA016,Flow and Level,"48°47'21"" N","123°43'31"" W",15.5
BIRKENHEAD RIVER AT MOUNT CURRIE,1945-1971,BC,08MG008,Flow,"50°20'20"" N","122°43'40"" W",596
BLAEBERRY RIVER ABOVE WILLOWBANK CREEK,1970-2022,BC,08NB012,Flow and Level,"51°28'57"" N","116°58'09"" W",587
BLAEBERRY RIVER BELOW ENSIGN CREEK,1974-1996,BC,08NB015,Flow,"51°39'17"" N","116°44'33"" W",230
BLUE RIVER NEAR BLUE RIVER,1926-2021,BC,08LB038,Flow and Level,"52°07'00"" N","119°18'07"" W",272
BLUE RIVER NEAR THE MOUTH,1963-1995,BC,10AC004,Flow,"59°45'30"" N","129°07'40"" W","1,700"
BLUEBERRY RIVER BELOW AITKEN CREEK,1964-2021,BC,07FC003,Flow and Level,"56°40'39"" N","121°13'20"" W","1,770"
BOUGIE CREEK AT KILOMETRE 368 ALASKA HIGHWAY,1981-2021,BC,10CD004,Flow and Level,"58°01'48"" N","122°43'12"" W",335
BOUNDARY CREEK NEAR PORTHILL,1928-2018,BC,08NH032,Flow,"48°59'50"" N","116°34'05"" W",242
BOWRON LAKE NEAR WELLS,1953-1985,BC,08KD005,Level,"53°15'30"" N","121°24'50"" W",
BOWRON RIVER BELOW BOX CANYON,1977-2022,BC,08KD007,Flow and Level,"54°01'01"" N","122°06'10"" W","3,330"
