WLS_WRL_SYSID,POD_NUMBER,POD_SUBTYPE,POD_DIVERSION_TYPE,POD_STATUS,FILE_NUMBER,WELL_TAG_NUMBER,LICENCE_NUMBER,LICENCE_STATUS,LICENCE_STATUS_DATE,PRIORITY_DATE,EXPIRY_DATE,PURPOSE_USE_CODE,PURPOSE_USE,SOURCE_NAME,REDIVERSION_IND,QUANTITY,QUANTITY_UNITS,QUANTITY_FLAG,QUANTITY_FLAG_DESCRIPTION,QTY_DIVERSION_MAX_RATE,QTY_UNITS_DIVERSION_MAX_RATE,HYDRAULIC_CONNECTIVITY,PERMIT_OVER_CROWN_LAND_NUMBER,PRIMARY_LICENSEE_NAME,ADDRESS_LINE_1,ADDRESS_LINE_2,ADDRESS_LINE_3,ADDRESS_LINE_4,COUNTRY,POSTAL_CODE,LATITUDE,LONGITUDE,DISTRICT_PRECINCT_NAME,OBJECTID,SE_ANNO_CAD_DATA
195,PD66713,POD,,Active,4006788,,C133375,Current,,,,WSA01,WSA01 - Domestic (WSA01) ,Slocan River,N,2.273,m3/day,T,"Total demand for purpose, one POD.",,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Nelson / Little Slocan,138589740,
297,,POD,,Active,20026602,,C039334,Current,,,,,,,,,,,,,m3/sec,Unknown,,,,,,,,,,,,138589842,
298,,POD,,Inactive,0330899,,F052403,Cancelled,,,,,,,,,,,,,m3/sec,Unknown,,,,,,,,,,,,138589843,
299,,POD,,Active,20026605,,C030011,Current,,,,,,,,,,,,,m3/sec,Unknown,,,,,,,,,,,,138589844,
300,,POD,,Inactive,0341531,,F048082,Cancelled,,,,,,,,,,,,,m3/sec,Unknown,,,,,,,,,,,,138589845,
301,,POD,,Inactive,0266732,,F049503,Abandoned,,,,,,,,,,,,,m3/sec,Unknown,,,,,,,,,,,,138589846,
302,,POD,,Inactive,0199175,,F016414,Abandoned,,,,,,,,,,,,,m3/sec,Unknown,,,,,,,,,,,,138589847,
303,,POD,,Active,20026601,,C001822,Current,,,,,,,,,,,,,m3/sec,Unknown,,,,,,,,,,,,138589848,
304,,POD,,Active,20026604,,C039336,Current,,,,,,,,,,,,,m3/sec,Unknown,,,,,,,,,,,,138589849,
305,,POD,,Inactive,0341532,,F048083,Cancelled,,,,,,,,,,,,,m3/sec,Unknown,,,,,,,,,,,,138589850,
306,,POD,,Active,20026606,,C031729,Current,,,,,,,,,,,,,m3/sec,Unknown,,,,,,,,,,,,138589851,
307,,POD,,Inactive,0060240,,F007114,Cancelled,,,,,,,,,,,,,m3/sec,Unknown,,,,,,,,,,,,138589852,
308,,POD,,Inactive,0309435,,F038557,Abandoned,,,,,,,,,,,,,m3/sec,Unknown,,,,,,,,,,,,138589853,
309,,POD,,Active,20026603,,C039335,Current,,,,,,,,,,,,,m3/sec,Unknown,,,,,,,,,,,,138589854,
310,,POD,,Inactive,0273238,,F020852,Abandoned,,,,,,,,,,,,,m3/sec,Unknown,,Penticton Indian Band (34703),,841 Westhills Drive,, BC V2A 6J7,Canada,V2A 6J7,,,Fernie / Conversion-Fer,138589855,
311,,POD,,Inactive,0273238,,F020852,Abandoned,,,,,,,,,,,,,m3/sec,Unknown,,Indian & Northern Affairs Canada (8357),C/O MANAGER LANDS,600-1138 MELVILLE ST,VANCOUVER BC,,Canada,,,,Fernie / Conversion-Fer,138589856,
312,,POD,,Inactive,0242655,,C027998,Abandoned,,,,,,,,,,,,,m3/sec,Unknown,,Tk'emlups Indian Band (29164),,200-355 Chief Alex Thomas  Way,, BC V2H 1H1,Canada,V2H 1H1,,,Kamloops / North Thompson,138589857,
313,,POD,,Inactive,0242655,,C027998,Abandoned,,,,,,,,,,,,,m3/sec,Unknown,,Indian & Northern Affairs Canada (8357),C/O MANAGER LANDS,600-1138 MELVILLE ST,VANCOUVER BC,,Canada,,,,Kamloops / North Thompson,138589858,
314,,POD,,Inactive,0242655,,C027998,Abandoned,,,,,,,,,,,,,m3/sec,Unknown,,Marpole Construction Co Ltd (39989),844 SW MARINE DRIVE,VANCOUVER 14 BC,,,Canada,,,,Kamloops / North Thompson,138589859,
1652,PD192324,POD,,Active,0330592,,C134197,Current,,,,01A,01A - Domestic ,Campbell Creek,N,2,m3/day,T,"Total demand for purpose, one POD.",,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Kamloops / Ducks,138591197,
1653,PD192324,POD,,Active,0330592,,C134197,Current,,,,01A,01A - Domestic ,Campbell Creek,N,2,m3/day,T,"Total demand for purpose, one POD.",,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Kamloops / Ducks,138591198,
1654,PD192324,POD,,Active,0330592,,C134197,Current,,,,03B,03B - Irrigation: Private ,Campbell Creek,N,8634,m3/year,T,"Total demand for purpose, one POD.",,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Kamloops / Ducks,138591199,
1655,PD192324,POD,,Active,0330592,,C134197,Current,,,,03B,03B - Irrigation: Private ,Campbell Creek,N,8634,m3/year,T,"Total demand for purpose, one POD.",,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Kamloops / Ducks,138591200,
1656,PD193679,POD,,Active,4001895,,C134199,Current,,,,WSA01,WSA01 - Domestic (WSA01) ,Deer Creek,N,4.546,m3/day,T,"Total demand for purpose, one POD.",,m3/sec,Unknown,28792,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Nelson / Castlegar,138591201,
3853,PD191904,POD,,Active,3006092,,C134174,Current,,,,WSA01,WSA01 - Domestic (WSA01) ,Gun Lake,N,2,m3/day,T,"Total demand for purpose, one POD.",,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Ashcroft / Bridge River,138593398,
4812,,POD,,Active,0265612,,C133457,Current,,,,08A,08A - Stream Storage: Non-Power ,,,,m3/year,,,,m3/sec,Unknown,28533,5th Sun Holdings Corporation (170159),,10-6465 Trapp Lake  Road,, BC V0E 2A0,Canada,V0E 2A0,,,Kamloops / Ducks,138594357,
4486,PD190376,POD,,Active,5002659,,C133589,Current,,,,WSA01,WSA01 - Domestic (WSA01) ,Bridge Lake,N,3.409,m3/day,M,"Maximum licensed demand for purpose,
          multiple PODs,
          quantity at each POD unknown",,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Cariboo / Clearwater,138594031,
3819,PD189952,POD,,Active,4006821,,C133998,Current,,,,WSA01,WSA01 - Domestic (WSA01) ,Baker Spring,N,2,m3/day,T,"Total demand for purpose, one POD.",,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Cranbrook / Cranbrook,138593364,
3319,,POD,,Active,20003189,,500059,Current,,,,02C,02C - Cooling ,,,,m3/day,,,,m3/sec,Unknown,,Constantia Holdings Ltd (138408),,620-1111 Melville Street,, BC V6E 3V6,Canada,V6E 3V6,,,Ashcroft / Bonaparte,138592864,
3320,PD190456,POD,,Active,0341381,,C054931,Current,,,,01A,01A - Domestic ,Cassius Creek,N,2.27305,m3/day,T,"Total demand for purpose, one POD.",,m3/sec,Unknown,12684,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Kamloops / Adams River,138592865,
2762,PD186568,POD,,Active,5002420,,C132274,Current,,,,01A,01A - Domestic ,Deka Lake,N,2.273,m3/day,T,"Total demand for purpose, one POD.",,m3/sec,Unknown,28178,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Cariboo / Clearwater,138592307,
2766,PD186835,POD,,Active,5002439,,C132278,Current,,,,05D,05D - Mining: Placer ,Big Valley Creek,N,0.022,m3/sec,M,"Maximum licensed demand for purpose,
          multiple PODs,
          quantity at each POD unknown",,m3/sec,Unknown,,Billy Barker Mining Inc (145275),,1245-200 Granville Street,, BC V6C 1S4,Canada,V6C 1S4,,,Quesnel / Cottonwood,138592311,
2767,PD186834,POD,,Active,5002439,,C132278,Current,,,,05D,05D - Mining: Placer ,Big Valley Creek,N,0.022,m3/sec,M,"Maximum licensed demand for purpose,
          multiple PODs,
          quantity at each POD unknown",,m3/sec,Unknown,,Billy Barker Mining Inc (145275),,1245-200 Granville Street,, BC V6C 1S4,Canada,V6C 1S4,,,Quesnel / Cottonwood,138592312,
2775,PD187268,POD,,Active,3004514,,C132289,Current,,,,02F,"02F - Lwn, Fairway & Grdn: Watering ",Murray Creek,N,43186.80966,m3/year,T,"Total demand for purpose, one POD.",,m3/sec,Unknown,,Sun Peaks Resort Corp (46610),1280 ALPINE ROAD,SUN PEAKS BC,,,Canada,,,,Kamloops / Barriere,138592320,
2776,PD187268,POD,,Active,3004514,,C132289,Current,,,,08A,08A - Stream Storage: Non-Power ,Murray Creek,N,43186.80966,m3/year,T,"Total demand for purpose, one POD.",,m3/sec,Unknown,,Sun Peaks Resort Corp (46610),1280 ALPINE ROAD,SUN PEAKS BC,,,Canada,,,,Kamloops / Barriere,138592321,
3464,PD187238,POD,,Active,4006417,,C132255,Current,,,,02I27,02I27 - Misc Ind'l: Sediment Control ,South Fork Aqueduct Creek,N,0.67,m3/sec,M,"Maximum licensed demand for purpose,
          multiple PODs,
          quantity at each POD unknown",,m3/sec,Unknown,,Teck Coal Elkview Operations (7924),,3300-550 Burrard  Street,, BC V6C 0B3,Canada,V6C 0B3,,,Fernie / Michel,138593009,
3465,PD187235,POD,,Active,4006417,,C132255,Current,,,,02I27,02I27 - Misc Ind'l: Sediment Control ,Aqueduct Creek,N,0.67,m3/sec,M,"Maximum licensed demand for purpose,
          multiple PODs,
          quantity at each POD unknown",,m3/sec,Unknown,,Teck Coal Elkview Operations (7924),,3300-550 Burrard  Street,, BC V6C 0B3,Canada,V6C 0B3,,,Fernie / Michel,138593010,
2939,PD187256,POD,,Active,3005523,,C132334,Current,,,,01A,01A - Domestic ,Gun Lake,N,2.27305,m3/day,T,"Total demand for purpose, one POD.",,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Ashcroft / Bridge River,138592484,
2944,PD186831,POD,,Active,5002440,,C132341,Current,,,,05D,05D - Mining: Placer ,unnamed,N,0.022,m3/sec,T,"Total demand for purpose, one POD.",,m3/sec,Unknown,,Zenith Mineral Resources Ltd. (130640),,1143-11871 Horseshoe  Way,, BC V7A 5H5,Canada,V7A 5H5,,,Quesnel / Cottonwood,138592489,
6491,PD23456,POD,,Active,0300723,,C058779,Current,,,,04A,04A - Land Improve: General ,Rimmer Creek,N,0,Total Flow,M,"Maximum licensed demand for purpose,
          multiple PODs,
          quantity at each POD unknown",,m3/sec,Unknown,,Teck Coal Ltd Fording River Operations (81209),C/O Land Officer ,3300-550 Burrard  Street,, BC V6C 0B3,Canada,V6C 0B3,,,Fernie / Michel,138596036,
9866,PD191768,POD,,Active,3006074,,C134085,Current,,,,WSA01,WSA01 - Domestic (WSA01) ,Gun Lake,N,2,m3/day,T,"Total demand for purpose, one POD.",,m3/sec,Unknown,28767,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Ashcroft / Bridge River,138599411,
9366,PD47398,POD,,Active,3001964,,C102978,Current,,,,03B,03B - Irrigation: Private ,Riley Creek,N,12334.8,m3/year,T,"Total demand for purpose, one POD.",,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Ashcroft / Bridge River,138598911,
9367,PD47398,POD,,Active,3001964,,C102978,Current,,,,03B,03B - Irrigation: Private ,Riley Creek,N,12334.8,m3/year,T,"Total demand for purpose, one POD.",,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Ashcroft / Bridge River,138598912,
9476,PD194196,POD,,Active,5002906,,500925,Current,,,,WSA02,WSA02 - Camps & Public Facilities ,Plato Spring,N,1.36,m3/day,T,"Total demand for purpose, one POD.",,m3/sec,Unknown,28977,Plato Island Investments Inc. (146898),PO BOX 126,PO BOX 126 , BC V0L 1L0, BC,Canada,V0L 1L0,,,Cariboo / Quesnel River,138599021,
9719,PW190541,PWD,,Active,20003290,112569,500081,Current,,,,03B,03B - Irrigation: Private ,Kelowna Unconsolidated,N,10360,m3/year,T,"Total demand for purpose, one POD.",,m3/sec,Likely,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Vernon / Kelowna,138599264,
9720,PW190541,PWD,,Active,20003290,112569,500081,Current,,,,03B,03B - Irrigation: Private ,Kelowna Unconsolidated,N,10360,m3/year,T,"Total demand for purpose, one POD.",,m3/sec,Likely,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Vernon / Kelowna,138599265,
7841,PD23456,POD,,Active,0300723,,C058779,Current,,,,02I27,02I27 - Misc Ind'l: Sediment Control ,Rimmer Creek,N,0,Total Flow,M,"Maximum licensed demand for purpose,
          multiple PODs,
          quantity at each POD unknown",,m3/sec,Unknown,,Teck Coal Ltd Fording River Operations (81209),C/O Land Officer ,3300-550 Burrard  Street,, BC V6C 0B3,Canada,V6C 0B3,,,Fernie / Michel,138597386,
12182,,POD,,Inactive,0249752,,C028238,Cancelled,,,,03B,03B - Irrigation: Private ,,,,m3/year ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Penticton / Fairview,138601727,
12186,,POD,,Inactive,0245586,,C028243,Cancelled,,,,03B,03B - Irrigation: Private ,,,,m3/year ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Vernon / Peachland,138601731,
12193,,POD,,Inactive,0250733,,C028263,Cancelled,,,,01A,01A - Domestic ,,,,m3/day ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Nelson / Nelson,138601738,
12194,,POD,,Inactive,0243967,,C028264,Cancelled,,,,01A,01A - Domestic ,,,,m3/day ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Nelson / New Denver,138601739,
12195,,POD,,Inactive,0243967,,C028264,Cancelled,,,,03B,03B - Irrigation: Private ,,,,m3/year ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Nelson / New Denver,138601740,
12196,,POD,,Inactive,0243967,,C028265,Cancelled,,,,07A,07A - Power: Residential ,,,,m3/sec ,,,,m3/sec,Unknown,,PRIVATE INDIVIDUAL NAME,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL ADDRESS,PRIVATE INDIVIDUAL COUNTRY,PRIVATE INDIVIDUAL POSTAL CODE,,,Nelson / New Denver,138601741,
