"Station.Name","Dates","Province","ID","Parameter","Latitude","Longitude","Lat","Lon","SDD","SAD","SMD","minFlowDate","minSumFlowDate","minWinterQ","minSummerQ","maxLateSumQ","freshetFactor","summerRainFactor","regime","perc_Gl","maxFreshetQ","COT","minSumFlowMonth","regime_Wenger","DetectLim","nZeroYrs","nYrs","intermittent","Area_km2","KGE","KGE.sqrt","NSE","NSE.log","R2","RMSE","pbias"
"ADAMS RIVER NEAR SQUILAX","1911-2021","BC","08LD001","Flow and Level","50°56'15"" N","119°39'22"" W",50.9375,-119.656111111111,6,10,4,1999-03-22,1999-10-31,19.1381609195402,46.3441666666667,46.4098850574713,10.5747335510341,1.00141805097667,"Snowfall",0.0101966205187301,202.380952380952,258,10,"Snowfall",0.001,0,102,FALSE,3204.68310127557,0.563426559955203,0.500413452597029,0.383419713332988,0.261941726519323,0.383419713332988,11.4082808764504,-2.04
"ANDERSON CREEK NEAR NELSON","1945-2022","BC","08NJ130","Flow and Level","49°30'07"" N","117°15'40"" W",49.5019444444444,-117.261111111111,6,10,4,1999-10-14,1999-10-14,0.0340544444444444,0.0217911111111111,0.0337033333333333,15.2341675095435,1.54665510911687,"Hybrid",0,0.518791111111111,229,10,"Snowfall",0.001,0,57,FALSE,8.34705035284835,0.592044785207843,0.614951272884673,0.500248586155626,0.461867962471864,0.500248586155626,0.00485069467166519,-0.12
"ANSEDAGAN CREEK NEAR NEW AIYANSH","1997-2022","BC","08DB013","Flow and Level","55°07'47"" N","129°21'17"" W",55.1297222222222,-129.354722222222,7,10,4,1999-03-06,1999-09-01,0.244726388888889,0.917651388888889,1.29013472222222,9.74180916329461,1.40590940943744,"Snowfall",1.76764155567405e-06,2.38407777777778,243,9,"Snowfall",0.001,0,26,FALSE,22.440601016906,0.626939698529547,0.646450279859192,0.191225673681942,0.272338429532251,0.191225673681942,0.131443268970785,6.75
"ARROW CREEK NEAR ERICKSON","1945-2022","BC","08NH084","Flow and Level","49°09'32"" N","116°27'08"" W",49.1588888888889,-116.452222222222,6,10,4,1999-01-25,1999-10-09,0.535695555555556,0.496652222222222,0.659312222222222,13.2246757071803,1.32751288068781,"Snowfall",0,7.0844,234,10,"Snowfall",0.001,0,64,FALSE,78.8323517354346,0.563560547735595,0.56844166078452,0.374396762020117,0.374664541825668,0.374396762020117,0.0668919871197254,-0.18
"ARROWSTONE CREEK NEAR THE MOUTH","2001-2020","BC","08LF099","Flow and Level","50°50'08"" N","121°14'23"" W",50.8355555555556,-121.239722222222,5,10,3,1999-10-04,1999-10-04,0.0394631578947368,0.0376233333333333,0.0645533333333333,13.2581700799226,1.71577921502614,"Hybrid",0,0.523209259259259,218,10,"Snowfall",0.001,0,20,FALSE,49.4343016852179,0.578574222737353,0.631721453179207,0.525535948254365,0.497236636070299,0.525535948254365,0.00965679473216227,-7.79
"ASHNOLA RIVER NEAR KEREMEOS","1914-2021","BC","08NL004","Flow and Level","49°12'27"" N","119°59'36"" W",49.2075,-119.993333333333,7,10,4,1999-02-23,1999-10-12,1.35346,2.27677444444444,2.65299333333333,26.5354638400018,1.16524205540294,"Snowfall",0,35.9146888888889,245,10,"Snowfall",0.001,0,77,FALSE,1054.56419847385,0.638900973630729,0.657474178701455,0.472051573675439,0.487245973876484,0.472051573675439,0.537139498612317,-0.37
"ATLIN RIVER NEAR ATLIN","1950-2019","BC","09AA006","Flow and Level","59°35'43"" N","133°48'51"" W",59.5952777777778,-133.814166666667,7,10,4,1999-05-09,1999-10-31,30.4253333333333,160.239285714286,157.99880952381,5.4269937958969,0.986017934487857,"Glacial",0.0848345770467468,165.118095238095,278,10,"Snowfall",0.001,0,69,FALSE,6845.87092264671,0.768994366542223,0.76623542892438,0.634510352768092,0.634127581203661,0.634510352768092,13.3017669895774,-0.46
"ATNARKO RIVER NEAR THE MOUTH","1965-2021","BC","08FB006","Flow and Level","52°21'36"" N","126°00'21"" W",52.36,-126.005833333333,7,10,4,1999-03-13,1999-10-15,9.81081481481482,13.0132098765432,20.9216049382716,9.29309734856901,1.6077205498686,"Hybrid",0.00373900114603144,91.1728571428571,237.5,10,"Snowfall",0.001,0,52,FALSE,2528.20485871425,0.727511882677997,0.724398700985656,0.621970269127355,0.582067846843326,0.621970269127355,2.07590565189197,-1.97
"BABINE RIVER AT OUTLET OF NILKITKWA LAKE","1972-2022","BC","08EC013","Flow and Level","55°25'35"" N","126°41'51"" W",55.4263888888889,-126.6975,6,10,4,1999-03-30,1999-10-31,22.3075555555556,35.2225555555556,35.1214444444444,6.02942700031878,0.997129364706328,"Snowfall",5.18285792335431e-05,134.501777777778,244,10,"Snowfall",0.001,0,51,FALSE,6729.25050974645,0.825452814353727,0.825454439900795,0.682905876808602,0.704224953424843,0.682905876808602,5.08783660189636,-0.74
"BAKER CREEK AT QUESNEL","1963-2022","BC","08KE016","Flow and Level","52°58'26"" N","122°30'34"" W",52.9738888888889,-122.509444444444,5,10,3,1999-01-21,1999-09-13,1.51318111111111,1.75221333333333,3.09464222222222,19.222007925401,1.76613324607861,"Hybrid",0,29.0863793103448,215,9,"Snowfall",0.001,0,60,FALSE,1567.30139775807,0.676263632359666,0.749854230136644,0.380825760418976,0.607529033087536,0.380825760418976,0.558067912547507,-6.02
