"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1921,61674,24593.3031988873,5936.70375521558,0,0,0,0,0,0,0,0,0,0.00195433112784242,0.00918208751451887,0.00229039496728996,0
1922,61674,24593.3031988873,5936.70375521558,0,0,0,0,0,0,0,0,0,0.00195433112784242,0.00918208751451887,0.00229039496728996,0
1923,62503.66325,24663.7195185314,6004.84858067759,70.4163196440794,0,0,0,0,0,0,0,0,0.00198062156976449,0.00920837795644094,0.00231668540921203,2.62904419220727e-05
1924,124177.66325,49257.0227174188,11941.5523358932,70.4163196440794,0,0,0,0,0,0,0,0,0.00393495269760692,0.0183904654709598,0.00460708037650199,2.62904419220727e-05
1925,124177.66325,49257.0227174188,11941.5523358932,70.4163196440794,0,0,0,0,0,0,0,0,0.00393495269760692,0.0183904654709598,0.00460708037650199,2.62904419220727e-05
1926,249184.9861,96765.2731663818,24416.1669228042,211.248649144422,0,0,0,0,0,0,0,0,0.00789619572147438,0.0361280141750231,0.00941981748564976,7.88712101046975e-05
1927,249184.9861,96765.2731663818,24416.1669228042,211.248649144422,0,0,0,0,0,0,0,0,0.00789619572147438,0.0361280141750231,0.00941981748564976,7.88712101046975e-05
1928,249184.9861,96765.2731663818,24416.1669228042,211.248649144422,0,0,0,0,0,0,0,0,0.00789619572147438,0.0361280141750231,0.00941981748564976,7.88712101046975e-05
1929,249184.9861,96765.2731663818,24416.1669228042,211.248649144422,0,0,0,0,0,0,0,0,0.00789619572147438,0.0361280141750231,0.00941981748564976,7.88712101046975e-05
1930,249184.9861,96765.2731663818,24416.1669228042,211.248649144422,0,0,0,0,0,0,0,0,0.00789619572147438,0.0361280141750231,0.00941981748564976,7.88712101046975e-05
1931,249184.9861,96765.2731663818,24416.1669228042,211.248649144422,0,0,0,0,0,0,0,0,0.00789619572147438,0.0361280141750231,0.00941981748564976,7.88712101046975e-05
1932,249184.9861,96765.2731663818,24416.1669228042,211.248649144422,0,0,0,0,0,0,0,0,0.00789619572147438,0.0361280141750231,0.00941981748564976,7.88712101046975e-05
1933,249184.9861,96765.2731663818,24416.1669228042,211.248649144422,0,0,0,0,0,0,0,0,0.00789619572147438,0.0361280141750231,0.00941981748564976,7.88712101046975e-05
