"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1901,0,0,0,0,2129.16666666667,180.709559662332,174.880219028063,180.709559662332,0,0,0,0,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05
1902,0,0,0,0,2129.16666666667,180.709559662332,174.880219028063,180.709559662332,0,0,0,0,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05
1903,0,0,0,0,2129.16666666667,180.709559662332,174.880219028063,180.709559662332,0,0,0,0,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05
1904,0,0,0,0,2129.16666666667,180.709559662332,174.880219028063,180.709559662332,0,0,0,0,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05
1905,0,0,0,0,2129.16666666667,180.709559662332,174.880219028063,180.709559662332,0,0,0,0,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05
1906,0,0,0,0,2129.16666666667,180.709559662332,174.880219028063,180.709559662332,0,0,0,0,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05
1907,0,0,0,0,2129.16666666667,180.709559662332,174.880219028063,180.709559662332,0,0,0,0,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05
1908,0,0,0,0,2129.16666666667,180.709559662332,174.880219028063,180.709559662332,0,0,0,0,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05
1909,0,0,0,0,2129.16666666667,180.709559662332,174.880219028063,180.709559662332,0,0,0,0,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05
1910,0,0,0,0,2129.16666666667,180.709559662332,174.880219028063,180.709559662332,0,0,0,0,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05
1911,0,0,0,0,2129.16666666667,180.709559662332,174.880219028063,180.709559662332,0,0,0,0,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05
1912,0,0,0,0,2129.16666666667,180.709559662332,174.880219028063,180.709559662332,0,0,0,0,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05
1913,0,0,0,0,2129.16666666667,180.709559662332,174.880219028063,180.709559662332,0,0,0,0,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05
1914,0,0,0,0,2129.16666666667,180.709559662332,174.880219028063,180.709559662332,0,0,0,0,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05
1915,0,0,0,0,2129.16666666667,180.709559662332,174.880219028063,180.709559662332,0,0,0,0,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05
1916,0,0,0,0,2129.16666666667,180.709559662332,174.880219028063,180.709559662332,0,0,0,0,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05
1917,0,0,0,0,2129.16666666667,180.709559662332,174.880219028063,180.709559662332,0,0,0,0,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05
1918,0,0,0,0,2129.16666666667,180.709559662332,174.880219028063,180.709559662332,0,0,0,0,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05,6.74692203040366e-05
