"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,2488.9861,211.248649144422,204.434176591376,211.248649144422,0,0,0,0,0,0,0,0,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05
1913,2488.9861,211.248649144422,204.434176591376,211.248649144422,0,0,0,0,0,0,0,0,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05
1914,2488.9861,211.248649144422,204.434176591376,211.248649144422,0,0,0,0,0,0,0,0,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05
1915,2488.9861,211.248649144422,204.434176591376,211.248649144422,0,0,0,0,0,0,0,0,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05
1916,2488.9861,211.248649144422,204.434176591376,211.248649144422,0,0,0,0,0,0,0,0,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05
1917,2488.9861,211.248649144422,204.434176591376,211.248649144422,0,0,0,0,0,0,0,0,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05
1918,2488.9861,211.248649144422,204.434176591376,211.248649144422,0,0,0,0,0,0,0,0,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05
1919,2488.9861,211.248649144422,204.434176591376,211.248649144422,0,0,0,0,0,0,0,0,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05
1920,2488.9861,211.248649144422,204.434176591376,211.248649144422,0,0,0,0,0,0,0,0,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05
1921,2488.9861,211.248649144422,204.434176591376,211.248649144422,0,0,0,0,0,0,0,0,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05
1922,2488.9861,211.248649144422,204.434176591376,211.248649144422,0,0,0,0,0,0,0,0,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05
1923,2488.9861,211.248649144422,204.434176591376,211.248649144422,0,0,0,0,0,0,0,0,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05
1924,2488.9861,211.248649144422,204.434176591376,211.248649144422,0,0,0,0,0,0,0,0,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05
1925,2488.9861,211.248649144422,204.434176591376,211.248649144422,0,0,0,0,0,0,0,0,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05
1926,2488.9861,211.248649144422,204.434176591376,211.248649144422,0,0,0,0,0,0,0,0,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05
1927,2488.9861,211.248649144422,204.434176591376,211.248649144422,0,0,0,0,0,0,0,0,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05,7.88712101046974e-05
