"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1901,0,0,0,0,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05
1902,0,0,0,0,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05
1903,0,0,0,0,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05
1904,0,0,0,0,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05
1905,0,0,0,0,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05
1906,0,0,0,0,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05
1907,0,0,0,0,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05
1908,0,0,0,0,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05
1909,0,0,0,0,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05
1910,0,0,0,0,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05
1911,0,0,0,0,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05
1912,0,0,0,0,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05
1913,0,0,0,0,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05
1914,0,0,0,0,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05
1915,0,0,0,0,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05
1916,0,0,0,0,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05
1917,0,0,0,0,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05
1918,0,0,0,0,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05
1919,0,0,0,0,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05,1.01203830456055e-05
1920,0,0,0,0,958.125,81.3193018480493,78.6960985626283,81.3193018480493,0,0,0,0,3.03611491368165e-05,3.03611491368165e-05,3.03611491368165e-05,3.03611491368165e-05
1921,0,0,0,0,958.125,81.3193018480493,78.6960985626283,81.3193018480493,0,0,0,0,3.03611491368165e-05,3.03611491368165e-05,3.03611491368165e-05,3.03611491368165e-05
1922,0,0,0,0,961.469240837696,81.6031388527545,78.9707795349237,81.6031388527545,0,0,0,0,3.04671217341527e-05,3.04671217341527e-05,3.04671217341527e-05,3.04671217341527e-05
1923,0,0,0,0,961.469240837696,81.6031388527545,78.9707795349237,81.6031388527545,0,0,0,0,3.04671217341527e-05,3.04671217341527e-05,3.04671217341527e-05,3.04671217341527e-05
1924,0,0,0,0,961.469240837696,81.6031388527545,78.9707795349237,81.6031388527545,0,0,0,0,3.04671217341527e-05,3.04671217341527e-05,3.04671217341527e-05,3.04671217341527e-05
1925,0,0,0,0,1600.2192408377,135.816006751454,131.434845243343,135.816006751454,0,0,0,0,5.07078878253637e-05,5.07078878253637e-05,5.07078878253637e-05,5.07078878253637e-05
1926,0,0,0,0,1600.2192408377,135.816006751454,131.434845243343,135.816006751454,0,0,0,0,5.07078878253637e-05,5.07078878253637e-05,5.07078878253637e-05,5.07078878253637e-05
1927,0,0,0,0,1600.2192408377,135.816006751454,131.434845243343,135.816006751454,0,0,0,0,5.07078878253637e-05,5.07078878253637e-05,5.07078878253637e-05,5.07078878253637e-05
1928,0,0,0,0,1600.2192408377,135.816006751454,131.434845243343,135.816006751454,0,0,0,0,5.07078878253637e-05,5.07078878253637e-05,5.07078878253637e-05,5.07078878253637e-05
1929,0,0,0,0,1600.2192408377,135.816006751454,131.434845243343,135.816006751454,0,0,0,0,5.07078878253637e-05,5.07078878253637e-05,5.07078878253637e-05,5.07078878253637e-05
1930,0,0,0,0,2558.3442408377,217.135308599503,210.130943805971,217.135308599503,0,0,0,0,8.10690369621801e-05,8.10690369621801e-05,8.10690369621801e-05,8.10690369621801e-05
1931,0,0,0,0,2558.3442408377,217.135308599503,210.130943805971,217.135308599503,0,0,0,0,8.10690369621801e-05,8.10690369621801e-05,8.10690369621801e-05,8.10690369621801e-05
1932,0,0,0,0,3197.0942408377,271.348176498203,262.59500951439,271.348176498203,0,0,0,0,0.000101309803053391,0.000101309803053391,0.000101309803053391,0.000101309803053391
1933,0,0,0,0,3197.0942408377,271.348176498203,262.59500951439,271.348176498203,0,0,0,0,0.000101309803053391,0.000101309803053391,0.000101309803053391,0.000101309803053391
1934,0,0,0,0,3197.0942408377,271.348176498203,262.59500951439,271.348176498203,0,0,0,0,0.000101309803053391,0.000101309803053391,0.000101309803053391,0.000101309803053391
1935,0,0,0,0,3197.0942408377,271.348176498203,262.59500951439,271.348176498203,0,0,0,0,0.000101309803053391,0.000101309803053391,0.000101309803053391,0.000101309803053391
1936,0,0,0,0,3197.0942408377,271.348176498203,262.59500951439,271.348176498203,0,0,0,0,0.000101309803053391,0.000101309803053391,0.000101309803053391,0.000101309803053391
1937,0,0,0,0,3197.0942408377,271.348176498203,262.59500951439,271.348176498203,0,0,0,0,0.000101309803053391,0.000101309803053391,0.000101309803053391,0.000101309803053391
1938,0,0,0,0,3835.8442408377,325.561044396902,315.059075222809,325.561044396902,0,0,0,0,0.000121550569144602,0.000121550569144602,0.000121550569144602,0.000121550569144602
1939,0,0,0,0,3835.8442408377,325.561044396902,315.059075222809,325.561044396902,0,0,0,0,0.000121550569144602,0.000121550569144602,0.000121550569144602,0.000121550569144602
1940,0,0,0,0,3835.8442408377,325.561044396902,315.059075222809,325.561044396902,0,0,0,0,0.000121550569144602,0.000121550569144602,0.000121550569144602,0.000121550569144602
1941,0,0,0,0,3835.8442408377,325.561044396902,315.059075222809,325.561044396902,0,0,0,0,0.000121550569144602,0.000121550569144602,0.000121550569144602,0.000121550569144602
1942,0,0,0,0,4474.5942408377,379.773912295602,367.523140931228,379.773912295602,0,0,0,0,0.000141791335235813,0.000141791335235813,0.000141791335235813,0.000141791335235813
1943,0,0,0,0,5432.7192408377,461.093214143651,446.219239493856,461.093214143651,0,0,0,0,0.00017215248437263,0.00017215248437263,0.00017215248437263,0.00017215248437263
1944,0,0,0,0,5432.7192408377,461.093214143651,446.219239493856,461.093214143651,0,0,0,0,0.00017215248437263,0.00017215248437263,0.00017215248437263,0.00017215248437263
1945,1659.32285,140.832329500342,136.289351129363,140.832329500342,5432.7192408377,461.093214143651,446.219239493856,461.093214143651,0,0,0,0,0.000224733252555254,0.000224733252555254,0.000224733252555254,0.000224733252555254
1946,1659.32285,140.832329500342,136.289351129363,140.832329500342,5432.7192408377,461.093214143651,446.219239493856,461.093214143651,0,0,0,0,0.000224733252555254,0.000224733252555254,0.000224733252555254,0.000224733252555254
1947,1659.32285,140.832329500342,136.289351129363,140.832329500342,5432.7192408377,461.093214143651,446.219239493856,461.093214143651,82966.1425,7041.61647501711,6814.46755646817,7041.61647501711,0.00285377166168649,0.00285377166168649,0.00285377166168649,0.00285377166168649
1948,1659.32285,140.832329500342,136.289351129363,140.832329500342,11820.2192408377,1003.22189313065,970.859896578045,1003.22189313065,82966.1425,7041.61647501711,6814.46755646817,7041.61647501711,0.0030561793225986,0.0030561793225986,0.0030561793225986,0.0030561793225986
1949,1659.32285,140.832329500342,136.289351129363,140.832329500342,11820.2192408377,1003.22189313065,970.859896578045,1003.22189313065,82966.1425,7041.61647501711,6814.46755646817,7041.61647501711,0.0030561793225986,0.0030561793225986,0.0030561793225986,0.0030561793225986
1950,199016.12285,94863.9040638368,28297.2025694456,140.832329500342,201927.017539836,54598.5173491424,17939.5471309659,7513.22540103021,82966.1425,7041.61647501711,6814.46755646817,7041.61647501711,0.0153341598502369,0.0584319137873344,0.0204672906083641,0.00548673618785382
1951,199016.12285,94863.9040638368,28297.2025694456,140.832329500342,202139.934206502,54616.5883051086,17957.0351528687,7531.29635699644,82966.1425,7041.61647501711,6814.46755646817,7041.61647501711,0.0153409067722673,0.0584386607093648,0.0204740375303945,0.00549348310988422
1952,199016.12285,94863.9040638368,28297.2025694456,140.832329500342,203417.434206502,54725.014040906,18061.9632842855,7639.72209279384,82966.1425,7041.61647501711,6814.46755646817,7041.61647501711,0.0153813883044497,0.0584791422415472,0.0205145190625769,0.00553396464206664
