"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1901,0,0,0,0,958.125,81.3193018480493,78.6960985626283,81.3193018480493,0,0,0,0,3.03611491368165e-05,3.03611491368165e-05,3.03611491368165e-05,3.03611491368165e-05
1902,0,0,0,0,958.125,81.3193018480493,78.6960985626283,81.3193018480493,0,0,0,0,3.03611491368165e-05,3.03611491368165e-05,3.03611491368165e-05,3.03611491368165e-05
1903,0,0,0,0,958.125,81.3193018480493,78.6960985626283,81.3193018480493,0,0,0,0,3.03611491368165e-05,3.03611491368165e-05,3.03611491368165e-05,3.03611491368165e-05
1904,0,0,0,0,958.125,81.3193018480493,78.6960985626283,81.3193018480493,0,0,0,0,3.03611491368165e-05,3.03611491368165e-05,3.03611491368165e-05,3.03611491368165e-05
1905,0,0,0,0,958.125,81.3193018480493,78.6960985626283,81.3193018480493,0,0,0,0,3.03611491368165e-05,3.03611491368165e-05,3.03611491368165e-05,3.03611491368165e-05
1906,0,0,0,0,958.125,81.3193018480493,78.6960985626283,81.3193018480493,0,0,0,0,3.03611491368165e-05,3.03611491368165e-05,3.03611491368165e-05,3.03611491368165e-05
1907,0,0,0,0,958.125,81.3193018480493,78.6960985626283,81.3193018480493,0,0,0,0,3.03611491368165e-05,3.03611491368165e-05,3.03611491368165e-05,3.03611491368165e-05
1908,0,0,0,0,958.125,81.3193018480493,78.6960985626283,81.3193018480493,0,0,0,0,3.03611491368165e-05,3.03611491368165e-05,3.03611491368165e-05,3.03611491368165e-05
1909,0,0,0,0,958.125,81.3193018480493,78.6960985626283,81.3193018480493,0,0,0,0,3.03611491368165e-05,3.03611491368165e-05,3.03611491368165e-05,3.03611491368165e-05
1910,0,0,0,0,958.125,81.3193018480493,78.6960985626283,81.3193018480493,0,0,0,0,3.03611491368165e-05,3.03611491368165e-05,3.03611491368165e-05,3.03611491368165e-05
1911,0,0,0,0,958.125,81.3193018480493,78.6960985626283,81.3193018480493,0,0,0,0,3.03611491368165e-05,3.03611491368165e-05,3.03611491368165e-05,3.03611491368165e-05
1912,0,0,0,0,958.125,81.3193018480493,78.6960985626283,81.3193018480493,0,0,0,0,3.03611491368165e-05,3.03611491368165e-05,3.03611491368165e-05,3.03611491368165e-05
1913,0,0,0,0,958.125,81.3193018480493,78.6960985626283,81.3193018480493,0,0,0,0,3.03611491368165e-05,3.03611491368165e-05,3.03611491368165e-05,3.03611491368165e-05
