"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1933,16593.2285,1408.32329500342,1362.89351129363,1408.32329500342,0,0,0,0,0,0,0,0,0.000525807681826248,0.000525807681826248,0.000525807681826248,0.000525807681826248
1934,16593.2285,1408.32329500342,1362.89351129363,1408.32329500342,0,0,0,0,0,0,0,0,0.000525807681826248,0.000525807681826248,0.000525807681826248,0.000525807681826248
1935,16593.2285,1408.32329500342,1362.89351129363,1408.32329500342,0,0,0,0,0,0,0,0,0.000525807681826248,0.000525807681826248,0.000525807681826248,0.000525807681826248
1936,16593.2285,1408.32329500342,1362.89351129363,1408.32329500342,0,0,0,0,0,0,0,0,0.000525807681826248,0.000525807681826248,0.000525807681826248,0.000525807681826248
1937,16593.2285,1408.32329500342,1362.89351129363,1408.32329500342,0,0,0,0,0,0,0,0,0.000525807681826248,0.000525807681826248,0.000525807681826248,0.000525807681826248
1938,16593.2285,1408.32329500342,1362.89351129363,1408.32329500342,0,0,0,0,0,0,0,0,0.000525807681826248,0.000525807681826248,0.000525807681826248,0.000525807681826248
1939,16593.2285,1408.32329500342,1362.89351129363,1408.32329500342,0,0,0,0,0,0,0,0,0.000525807681826248,0.000525807681826248,0.000525807681826248,0.000525807681826248
1940,16593.2285,1408.32329500342,1362.89351129363,1408.32329500342,0,0,0,0,0,0,0,0,0.000525807681826248,0.000525807681826248,0.000525807681826248,0.000525807681826248
