"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1902,130073.3885,39932.2965789769,16883.343179657,1408.32329500342,0,0,0,0,0,0,0,0,0.0041217769570563,0.0149090115662249,0.0065136354859788,0.000525807681826248
1903,130073.3885,39932.2965789769,16883.343179657,1408.32329500342,0,0,0,0,0,0,0,0,0.0041217769570563,0.0149090115662249,0.0065136354859788,0.000525807681826248
1904,130073.3885,39932.2965789769,16883.343179657,1408.32329500342,0,0,0,0,0,0,0,0,0.0041217769570563,0.0149090115662249,0.0065136354859788,0.000525807681826248
1905,130073.3885,39932.2965789769,16883.343179657,1408.32329500342,0,0,0,0,0,0,0,0,0.0041217769570563,0.0149090115662249,0.0065136354859788,0.000525807681826248
1906,130073.3885,39932.2965789769,16883.343179657,1408.32329500342,0,0,0,0,0,0,0,0,0.0041217769570563,0.0149090115662249,0.0065136354859788,0.000525807681826248
1907,130073.3885,39932.2965789769,16883.343179657,1408.32329500342,0,0,0,0,0,0,0,0,0.0041217769570563,0.0149090115662249,0.0065136354859788,0.000525807681826248
1908,130073.3885,39932.2965789769,16883.343179657,1408.32329500342,0,0,0,0,0,0,0,0,0.0041217769570563,0.0149090115662249,0.0065136354859788,0.000525807681826248
1909,130073.3885,39932.2965789769,16883.343179657,1408.32329500342,0,0,0,0,0,0,0,0,0.0041217769570563,0.0149090115662249,0.0065136354859788,0.000525807681826248
1910,130073.3885,39932.2965789769,16883.343179657,1408.32329500342,0,0,0,0,0,0,0,0,0.0041217769570563,0.0149090115662249,0.0065136354859788,0.000525807681826248
1911,130073.3885,39932.2965789769,16883.343179657,1408.32329500342,0,0,0,0,0,0,0,0,0.0041217769570563,0.0149090115662249,0.0065136354859788,0.000525807681826248
1912,130073.3885,39932.2965789769,16883.343179657,1408.32329500342,0,0,0,0,0,0,0,0,0.0041217769570563,0.0149090115662249,0.0065136354859788,0.000525807681826248
1913,130073.3885,39932.2965789769,16883.343179657,1408.32329500342,0,0,0,0,0,0,0,0,0.0041217769570563,0.0149090115662249,0.0065136354859788,0.000525807681826248
1914,130073.3885,39932.2965789769,16883.343179657,1408.32329500342,0,0,0,0,0,0,0,0,0.0041217769570563,0.0149090115662249,0.0065136354859788,0.000525807681826248
1915,130073.3885,39932.2965789769,16883.343179657,1408.32329500342,0,0,0,0,0,0,0,0,0.0041217769570563,0.0149090115662249,0.0065136354859788,0.000525807681826248
1916,130073.3885,39932.2965789769,16883.343179657,1408.32329500342,0,0,0,0,0,0,0,0,0.0041217769570563,0.0149090115662249,0.0065136354859788,0.000525807681826248
1917,130073.3885,39932.2965789769,16883.343179657,1408.32329500342,0,0,0,0,0,0,0,0,0.0041217769570563,0.0149090115662249,0.0065136354859788,0.000525807681826248
1918,284258.3885,103019.616406277,32988.0201972592,1408.32329500342,0,0,0,0,0,0,0,0,0.00900760477666236,0.0384631184312563,0.0127268596440043,0.000525807681826248
1919,284258.3885,103019.616406277,32988.0201972592,1408.32329500342,0,0,0,0,0,0,0,0,0.00900760477666236,0.0384631184312563,0.0127268596440043,0.000525807681826248
1920,284258.3885,103019.616406277,32988.0201972592,1408.32329500342,0,0,0,0,0,0,0,0,0.00900760477666236,0.0384631184312563,0.0127268596440043,0.000525807681826248
1921,284258.3885,103019.616406277,32988.0201972592,1408.32329500342,0,0,0,0,0,0,0,0,0.00900760477666236,0.0384631184312563,0.0127268596440043,0.000525807681826248
1922,284258.3885,103019.616406277,32988.0201972592,1408.32329500342,0,0,0,0,0,0,0,0,0.00900760477666236,0.0384631184312563,0.0127268596440043,0.000525807681826248
