"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1900,681013.10565,293251.458840059,15878.2270902994,1267.49096550308,0,0,0,0,0,0,0,0,0.0215800030943418,0.10948755183694,0.0061258592169365,0.000473226913643623
1901,681013.10565,293251.458840059,15878.2270902994,1267.49096550308,0,0,0,0,0,0,0,0,0.0215800030943418,0.10948755183694,0.0061258592169365,0.000473226913643623
1902,681013.10565,293251.458840059,15878.2270902994,1267.49096550308,0,0,0,0,0,0,0,0,0.0215800030943418,0.10948755183694,0.0061258592169365,0.000473226913643623
1903,681013.10565,293251.458840059,15878.2270902994,1267.49096550308,0,0,0,0,0,0,0,0,0.0215800030943418,0.10948755183694,0.0061258592169365,0.000473226913643623
1904,681013.10565,293251.458840059,15878.2270902994,1267.49096550308,0,0,0,0,0,0,0,0,0.0215800030943418,0.10948755183694,0.0061258592169365,0.000473226913643623
1905,743544.6665,319977.740001449,17227.7412889158,1408.32329500342,0,0,0,0,0,0,0,0,0.0235615086857049,0.119466002091341,0.00664650512689652,0.000525807681826248
1906,743544.6665,319977.740001449,17227.7412889158,1408.32329500342,0,0,0,0,0,0,0,0,0.0235615086857049,0.119466002091341,0.00664650512689652,0.000525807681826248
1907,743544.6665,319977.740001449,17227.7412889158,1408.32329500342,0,0,0,0,0,0,0,0,0.0235615086857049,0.119466002091341,0.00664650512689652,0.000525807681826248
1908,743544.6665,319977.740001449,17227.7412889158,1408.32329500342,0,0,0,0,0,0,0,0,0.0235615086857049,0.119466002091341,0.00664650512689652,0.000525807681826248
1909,743544.6665,319977.740001449,17227.7412889158,1408.32329500342,0,0,0,0,0,0,0,0,0.0235615086857049,0.119466002091341,0.00664650512689652,0.000525807681826248
1910,743544.6665,319977.740001449,17227.7412889158,1408.32329500342,0,0,0,0,0,0,0,0,0.0235615086857049,0.119466002091341,0.00664650512689652,0.000525807681826248
1911,743544.6665,319977.740001449,17227.7412889158,1408.32329500342,0,0,0,0,0,0,0,0,0.0235615086857049,0.119466002091341,0.00664650512689652,0.000525807681826248
1912,743544.6665,319977.740001449,17227.7412889158,1408.32329500342,0,0,0,0,0,0,0,0,0.0235615086857049,0.119466002091341,0.00664650512689652,0.000525807681826248
1913,743544.6665,319977.740001449,17227.7412889158,1408.32329500342,0,0,0,0,0,0,0,0,0.0235615086857049,0.119466002091341,0.00664650512689652,0.000525807681826248
1914,743544.6665,319977.740001449,17227.7412889158,1408.32329500342,0,0,0,0,0,0,0,0,0.0235615086857049,0.119466002091341,0.00664650512689652,0.000525807681826248
1915,886628.3465,382589.075839076,20417.7444606478,1408.32329500342,0,0,0,0,0,0,0,0,0.0280955569022993,0.142842396893323,0.00787721622710178,0.000525807681826248
1916,1052560.6315,396672.30878911,34046.6795735842,15491.5562450376,0,0,0,0,0,0,0,0,0.0333536337205618,0.148100473711585,0.0131352930453643,0.00578388450008873
1917,1052560.6315,396672.30878911,34046.6795735842,15491.5562450376,0,0,0,0,0,0,0,0,0.0333536337205618,0.148100473711585,0.0131352930453643,0.00578388450008873
1918,1052560.6315,396672.30878911,34046.6795735842,15491.5562450376,0,0,0,0,0,0,0,0,0.0333536337205618,0.148100473711585,0.0131352930453643,0.00578388450008873
1919,1052560.6315,396672.30878911,34046.6795735842,15491.5562450376,0,0,0,0,0,0,0,0,0.0333536337205618,0.148100473711585,0.0131352930453643,0.00578388450008873
1920,1052560.6315,396672.30878911,34046.6795735842,15491.5562450376,0,0,0,0,0,0,0,0,0.0333536337205618,0.148100473711585,0.0131352930453643,0.00578388450008873
1921,1052560.6315,396672.30878911,34046.6795735842,15491.5562450376,0,0,0,0,0,0,0,0,0.0333536337205618,0.148100473711585,0.0131352930453643,0.00578388450008873
1922,1052560.6315,396672.30878911,34046.6795735842,15491.5562450376,0,0,0,0,0,0,0,0,0.0333536337205618,0.148100473711585,0.0131352930453643,0.00578388450008873
1923,1052560.6315,396672.30878911,34046.6795735842,15491.5562450376,0,0,0,0,0,0,0,0,0.0333536337205618,0.148100473711585,0.0131352930453643,0.00578388450008873
1924,1076826.41475,407254.335256231,34645.4351613532,15561.9725646817,0,0,0,0,0,0,0,0,0.034122569991064,0.152051349782046,0.0133662944295344,0.0058101749420108
1925,1170009.9536,447367.615474813,36605.8639994843,15702.8048941821,0,0,0,0,0,0,0,0,0.0370753781529647,0.167027932898302,0.0141226327158504,0.00586275571019342
1926,1379516.5316,537703.670211079,41027.7700224541,15702.8048941821,0,0,0,0,0,0,0,0,0.0437142409942454,0.200755551900791,0.0158286149777987,0.00586275571019342
1927,1458705.9476,572159.998824385,43229.2226724903,15702.8048941821,0,0,0,0,0,0,0,0,0.0462236021623951,0.213620071245663,0.0166779408458682,0.00586275571019342
1928,1458705.9476,572159.998824385,43229.2226724903,15702.8048941821,0,0,0,0,0,0,0,0,0.0462236021623951,0.213620071245663,0.0166779408458682,0.00586275571019342
1929,1536415.1876,605117.073458054,46141.6761613178,15702.8048941821,0,0,0,0,0,0,0,0,0.0486860593834766,0.225924833280337,0.017801572593101,0.00586275571019342
1930,1536415.1876,605117.073458054,46141.6761613178,15702.8048941821,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,0.0486961797665222,0.225934953663382,0.0178116929761466,0.00587287609323903
1931,1536415.1876,605117.073458054,46141.6761613178,15702.8048941821,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,0.0486961797665222,0.225934953663382,0.0178116929761466,0.00587287609323903
1932,1536415.1876,605117.073458054,46141.6761613178,15702.8048941821,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,0.0486961797665222,0.225934953663382,0.0178116929761466,0.00587287609323903
1933,1536415.1876,605117.073458054,46141.6761613178,15702.8048941821,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,0.0486961797665222,0.225934953663382,0.0178116929761466,0.00587287609323903
1934,1536415.1876,605117.073458054,46141.6761613178,15702.8048941821,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,0.0486961797665222,0.225934953663382,0.0178116929761466,0.00587287609323903
1935,1536415.1876,605117.073458054,46141.6761613178,15702.8048941821,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,0.0486961797665222,0.225934953663382,0.0178116929761466,0.00587287609323903
1936,1536415.1876,605117.073458054,46141.6761613178,15702.8048941821,319.375,27.1064339493498,26.2320328542094,27.1064339493498,0,0,0,0,0.0486961797665222,0.225934953663382,0.0178116929761466,0.00587287609323903
