"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1906,1460,123.915126625599,119.917864476386,123.915126625599,0,0,0,0,0,0,0,0,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05
1907,1460,123.915126625599,119.917864476386,123.915126625599,0,0,0,0,0,0,0,0,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05
1908,1460,123.915126625599,119.917864476386,123.915126625599,0,0,0,0,0,0,0,0,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05
1909,1460,123.915126625599,119.917864476386,123.915126625599,0,0,0,0,0,0,0,0,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05
1910,1460,123.915126625599,119.917864476386,123.915126625599,0,0,0,0,0,0,0,0,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05
1911,1460,123.915126625599,119.917864476386,123.915126625599,0,0,0,0,0,0,0,0,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05
1912,1460,123.915126625599,119.917864476386,123.915126625599,0,0,0,0,0,0,0,0,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05
1913,1460,123.915126625599,119.917864476386,123.915126625599,0,0,0,0,0,0,0,0,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05
1914,1460,123.915126625599,119.917864476386,123.915126625599,0,0,0,0,0,0,0,0,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05
1915,1460,123.915126625599,119.917864476386,123.915126625599,0,0,0,0,0,0,0,0,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05
1916,1460,123.915126625599,119.917864476386,123.915126625599,0,0,0,0,0,0,0,0,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05
1917,1460,123.915126625599,119.917864476386,123.915126625599,0,0,0,0,0,0,0,0,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05
1918,1460,123.915126625599,119.917864476386,123.915126625599,0,0,0,0,0,0,0,0,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05
1919,1460,123.915126625599,119.917864476386,123.915126625599,0,0,0,0,0,0,0,0,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05
1920,1460,123.915126625599,119.917864476386,123.915126625599,0,0,0,0,0,0,0,0,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05
1921,1460,123.915126625599,119.917864476386,123.915126625599,0,0,0,0,0,0,0,0,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05
1922,1460,123.915126625599,119.917864476386,123.915126625599,0,0,0,0,0,0,0,0,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05
1923,1460,123.915126625599,119.917864476386,123.915126625599,0,0,0,0,0,0,0,0,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05
1924,1460,123.915126625599,119.917864476386,123.915126625599,0,0,0,0,0,0,0,0,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05,4.62646082084823e-05
