"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1905,8017.62,2558.49373705679,1103.14602133668,0,0,0,0,0,0,0,0,0,0.000254063046619515,0.000955232130024191,0.000425596458849028,0
1906,8017.62,2558.49373705679,1103.14602133668,0,0,0,0,0,0,0,0,0,0.000254063046619515,0.000955232130024191,0.000425596458849028,0
1907,8017.62,2558.49373705679,1103.14602133668,0,0,0,0,0,0,0,0,0,0.000254063046619515,0.000955232130024191,0.000425596458849028,0
1908,8017.62,2558.49373705679,1103.14602133668,0,0,0,0,0,0,0,0,0,0.000254063046619515,0.000955232130024191,0.000425596458849028,0
1909,8017.62,2558.49373705679,1103.14602133668,0,0,0,0,0,0,0,0,0,0.000254063046619515,0.000955232130024191,0.000425596458849028,0
1910,44811.79124,13934.0667267464,6132.81563372347,0,0,0,0,0,0,0,0,0,0.00141999997591705,0.00520238453059528,0.00236605541424517,0
1911,44811.79124,13934.0667267464,6132.81563372347,0,0,0,0,0,0,0,0,0,0.00141999997591705,0.00520238453059528,0.00236605541424517,0
1912,44811.79124,13934.0667267464,6132.81563372347,0,0,0,0,0,0,0,0,0,0.00141999997591705,0.00520238453059528,0.00236605541424517,0
1913,44811.79124,13934.0667267464,6132.81563372347,0,0,0,0,0,0,0,0,0,0.00141999997591705,0.00520238453059528,0.00236605541424517,0
1914,44811.79124,13934.0667267464,6132.81563372347,0,0,0,0,0,0,0,0,0,0.00141999997591705,0.00520238453059528,0.00236605541424517,0
1915,86750.11124,25614.8200958122,11896.926230967,256.896294027565,0,0,0,0,0,0,0,0,0.0027489451428499,0.00956347823171007,0.00458986351503355,9.59140882719404e-05
1916,86750.11124,25614.8200958122,11896.926230967,256.896294027565,0,0,0,0,0,0,0,0,0.0027489451428499,0.00956347823171007,0.00458986351503355,9.59140882719404e-05
1917,86750.11124,25614.8200958122,11896.926230967,256.896294027565,0,0,0,0,0,0,0,0,0.0027489451428499,0.00956347823171007,0.00458986351503355,9.59140882719404e-05
1918,86750.11124,25614.8200958122,11896.926230967,256.896294027565,0,0,0,0,0,0,0,0,0.0027489451428499,0.00956347823171007,0.00458986351503355,9.59140882719404e-05
1919,129305.17124,38324.2282875739,17673.929954495,256.896294027565,0,0,0,0,0,0,0,0,0.00409743362106117,0.014308627646197,0.00681864581577739,9.59140882719404e-05
1920,129305.17124,38324.2282875739,17673.929954495,256.896294027565,0,0,0,0,0,0,0,0,0.00409743362106117,0.014308627646197,0.00681864581577739,9.59140882719404e-05
1921,160142.17124,48164.5888147154,21916.7992673284,256.896294027565,0,0,0,0,0,0,0,0,0.00507459918498238,0.0179825973770592,0.00845555527288904,9.59140882719404e-05
1922,160142.17124,48164.5888147154,21916.7992673284,256.896294027565,0,0,0,0,0,0,0,0,0.00507459918498238,0.0179825973770592,0.00845555527288904,9.59140882719404e-05
1923,160142.17124,48164.5888147154,21916.7992673284,256.896294027565,0,0,0,0,0,0,0,0,0.00507459918498238,0.0179825973770592,0.00845555527288904,9.59140882719404e-05
1924,226099.62849,67887.746653072,30844.4014320003,327.312613671644,0,0,0,0,0,0,0,0,0.00716466488231044,0.025346380918859,0.0118998462314816,0.000122204530194013
1925,245835.30849,74185.5773904425,33559.8377922137,327.312613671644,0,0,0,0,0,0,0,0,0.00779005084322002,0.0276977215466109,0.0129474682840331,0.000122204530194013
