"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1900,116007137.546603,31896026.379263,14758006.9718376,1819810.46335972,638.75,54.2128678986995,52.4640657084189,54.2128678986995,2134091.8,639678.357159146,297519.325497532,263.956194387406,3.74368989075859,12.1474607785581,5.808479460417,0.679558181161143
1901,116758201.463253,32139576.3909421,14860987.6663362,1821022.91030741,9688.81535239746,822.322452907108,795.795922168169,822.322452907108,2134091.8,639678.357159146,297519.325497532,263.956194387406,3.76777644936895,12.2386787151113,5.84849644589347,0.680297636258476
1902,121302229.470703,33291009.9406861,15443688.6854769,1906389.69168432,9688.81535239746,822.322452907108,795.795922168169,822.322452907108,2134091.8,639678.357159146,297519.325497532,263.956194387406,3.91176800789844,12.6685747536956,6.07330393784592,0.712169941133369
1903,122378561.478853,33648527.0863513,15592260.6248772,1906766.11251997,9688.81535239746,822.322452907108,795.795922168169,822.322452907108,2134091.8,639678.357159146,297519.325497532,263.956194387406,3.94587491108974,12.8020563642336,6.13062335891085,0.712310480573203
1904,125552098.738603,34563585.2497972,16050862.3898223,1916308.62458016,9688.81535239746,822.322452907108,795.795922168169,822.322452907108,2134091.8,639678.357159146,297519.325497532,263.956194387406,4.0464382384578,13.1436999437758,6.3075530521767,0.715873246426021
1905,129383774.725268,35795265.2001603,16554637.8220165,1921538.51656244,9688.81535239746,822.322452907108,795.795922168169,822.322452907108,2285193.1,683164.18103869,321324.252409358,263.956194387406,4.17264483486136,13.6197923027374,6.51109485738736,0.717825864400289
1906,151513353.951968,44862579.1232277,19573785.7465878,2035920.06543283,15607.8897843954,1324.69427328201,1281.96219995034,1324.69427328201,2285193.1,683164.18103869,321324.252409358,263.956194387406,4.87407644883492,17.0053270603867,7.67607714552356,0.760718606593674
1907,152918540.511978,45305552.7630947,19751676.0323247,2037493.288826,15607.8897843954,1324.69427328201,1281.96219995034,1324.69427328201,2285193.1,683164.18103869,321324.252409358,263.956194387406,4.9186041239436,17.1707144707313,7.74470765699615,0.761305980919082
1908,155842262.864828,46208140.3990522,20139675.3809635,2043465.72095664,15607.8897843954,1324.69427328201,1281.96219995034,1324.69427328201,2289653.1,684195.349512648,321772.257161491,419.27446954141,5.01139262347621,17.5080870828995,7.89457160506364,0.763593820825665
1909,157436578.550043,46671838.2297237,20362087.4404886,2046907.4486923,15607.8897843954,1324.69427328201,1281.96219995034,1324.69427328201,2289653.1,684195.349512648,321772.257161491,419.27446954141,5.06191343891258,17.6812120196795,7.980378726794,0.764878814753258
