"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1923,98729.7844,8379.5299559206,8109.22253798768,8379.5299559206,0,0,0,0,0,0,0,0,0.00312855807792735,0.00312855807792735,0.00312855807792735,0.00312855807792735
1924,98729.7844,8379.5299559206,8109.22253798768,8379.5299559206,0,0,0,0,0,0,0,0,0.00312855807792735,0.00312855807792735,0.00312855807792735,0.00312855807792735
1925,98729.7844,8379.5299559206,8109.22253798768,8379.5299559206,0,0,0,0,0,0,0,0,0.00312855807792735,0.00312855807792735,0.00312855807792735,0.00312855807792735
1926,98729.7844,8379.5299559206,8109.22253798768,8379.5299559206,0,0,0,0,0,0,0,0,0.00312855807792735,0.00312855807792735,0.00312855807792735,0.00312855807792735
1927,98729.7844,8379.5299559206,8109.22253798768,8379.5299559206,0,0,0,0,0,0,0,0,0.00312855807792735,0.00312855807792735,0.00312855807792735,0.00312855807792735
1928,98729.7844,8379.5299559206,8109.22253798768,8379.5299559206,0,0,0,0,0,0,0,0,0.00312855807792735,0.00312855807792735,0.00312855807792735,0.00312855807792735
1929,98729.7844,8379.5299559206,8109.22253798768,8379.5299559206,0,0,0,0,0,0,0,0,0.00312855807792735,0.00312855807792735,0.00312855807792735,0.00312855807792735
1930,98729.7844,8379.5299559206,8109.22253798768,8379.5299559206,0,0,0,0,0,0,0,0,0.00312855807792735,0.00312855807792735,0.00312855807792735,0.00312855807792735
1931,98729.7844,8379.5299559206,8109.22253798768,8379.5299559206,0,0,0,0,0,0,0,0,0.00312855807792735,0.00312855807792735,0.00312855807792735,0.00312855807792735
1932,98729.7844,8379.5299559206,8109.22253798768,8379.5299559206,0,0,0,0,0,0,0,0,0.00312855807792735,0.00312855807792735,0.00312855807792735,0.00312855807792735
1933,98729.7844,8379.5299559206,8109.22253798768,8379.5299559206,0,0,0,0,0,0,0,0,0.00312855807792735,0.00312855807792735,0.00312855807792735,0.00312855807792735
1934,98729.7844,8379.5299559206,8109.22253798768,8379.5299559206,0,0,0,0,0,0,0,0,0.00312855807792735,0.00312855807792735,0.00312855807792735,0.00312855807792735
