"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1900,4630303.242,1498765.18375381,505200.335692323,6548.70378644764,0,0,0,0,0,0,0,0,0.146725455738079,0.559574814722899,0.194907536918334,0.00244500589398433
1901,4630303.242,1498765.18375381,505200.335692323,6548.70378644764,0,0,0,0,0,0,0,0,0.146725455738079,0.559574814722899,0.194907536918334,0.00244500589398433
1902,4695273.86525,1520610.8527477,512043.522732318,6619.12010609172,0,0,0,0,0,0,0,0,0.148784250552957,0.567731053146543,0.197547655375123,0.00247129633590641
1903,4838783.3881,1584513.88822957,519740.187600084,6759.95243559206,0,0,0,0,0,0,0,0,0.153331792915177,0.591589713347359,0.200517047685218,0.00252387710408903
1904,5284893.4562,1732808.00870179,564803.780449545,6971.20108473648,0,0,0,0,0,0,0,0,0.167468167927853,0.646956395124624,0.21790269307467,0.00260274831419373
1905,5665051.9922,1853508.64054073,609124.625271937,6971.20108473648,0,0,0,0,0,0,0,0,0.179514664999873,0.692020848469507,0.235001784441334,0.00260274831419373
1906,5801564.4372,1906083.47155902,615213.041712545,7041.61585544148,0,0,0,0,0,0,0,0,0.183840483344741,0.711650041651365,0.237350710537247,0.0026290381778082
1907,6351628.96805,2185195.5924102,640289.226711783,7182.44818494182,0,0,0,0,0,0,0,0,0.201270976501698,0.815858569448253,0.247025164626459,0.00268161894599082
1908,6353288.2909,2185336.4247397,640425.516062912,7323.28051444216,0,0,0,0,0,0,0,0,0.201323557269881,0.815911150216436,0.247077745394642,0.00273419971417345
1909,6939235.33945,2388605.11729544,695812.642378613,7745.77750294319,0,0,0,0,0,0,0,0,0.219891098798705,0.891802985848059,0.268446235485576,0.00289194201872132
1910,7062583.33945,2435669.63231174,706665.638414411,7745.77750294319,0,0,0,0,0,0,0,0,0.223799761054389,0.909374862720929,0.272633348153708,0.00289194201872132
1911,9212817.9737,3399183.06155994,821508.755471283,8449.9391504449,0,0,0,0,0,0,0,0,0.29193658496527,1.2691095659946,0.316940106277501,0.00315484585963445
1912,9827707.7537,3644088.83280946,867338.2547413,8449.9391504449,0,0,0,0,0,0,0,0,0.311421266309859,1.36054690591751,0.334621240255131,0.00315484585963445
1913,9827707.7537,3644088.83280946,867338.2547413,8449.9391504449,0,0,0,0,0,0,0,0,0.311421266309859,1.36054690591751,0.334621240255131,0.00315484585963445
1914,9827707.7537,3644088.83280946,867338.2547413,8449.9391504449,0,0,0,0,0,0,0,0,0.311421266309859,1.36054690591751,0.334621240255131,0.00315484585963445
1915,9847173.24075,3648725.1234078,869378.989298802,9013.26877823409,0,0,0,0,0,0,0,0,0.312038090372842,1.36227789852442,0.335408560686266,0.00336516904802647
1916,9847173.24075,3648725.1234078,869378.989298802,9013.26877823409,0,0,0,0,0,0,0,0,0.312038090372842,1.36227789852442,0.335408560686266,0.00336516904802647
1917,9847173.24075,3648725.1234078,869378.989298802,9013.26877823409,0,0,0,0,0,0,0,0,0.312038090372842,1.36227789852442,0.335408560686266,0.00336516904802647
1918,9847173.24075,3648725.1234078,869378.989298802,9013.26877823409,0,0,0,0,0,0,0,0,0.312038090372842,1.36227789852442,0.335408560686266,0.00336516904802647
1919,9847173.24075,3648725.1234078,869378.989298802,9013.26877823409,0,0,0,0,0,0,0,0,0.312038090372842,1.36227789852442,0.335408560686266,0.00336516904802647
1920,9847173.24075,3648725.1234078,869378.989298802,9013.26877823409,0,0,0,0,0,0,0,0,0.312038090372842,1.36227789852442,0.335408560686266,0.00336516904802647
1921,10009992.60075,3731167.68285417,876645.888170473,9013.26877823409,0,0,0,0,0,0,0,0,0.317197524550346,1.39305842400469,0.338212148213917,0.00336516904802647
1922,10087701.84075,3770704.43129447,881412.365005694,9013.26877823409,0,0,0,0,0,0,0,0,0.319659981771427,1.40781975481424,0.340051066746024,0.00336516904802647
1923,11139860.28075,4218405.84854225,944602.972852136,9013.26877823409,0,0,0,0,0,0,0,0,0.353000870812419,1.57497231501727,0.364430159279374,0.00336516904802647
1924,11139860.28075,4218405.84854225,944602.972852136,9013.26877823409,0,0,0,0,0,0,0,0,0.353000870812419,1.57497231501727,0.364430159279374,0.00336516904802647
1925,11139860.28075,4218405.84854225,944602.972852136,9013.26877823409,0,0,0,0,0,0,0,0,0.353000870812419,1.57497231501727,0.364430159279374,0.00336516904802647
1926,12031666.32075,4527685.95616086,1042293.18902878,9013.26877823409,0,0,0,0,0,0,0,0,0.381260498921021,1.69044427873389,0.402119285890732,0.00336516904802647
1927,13979801.07185,5184530.52679473,1243246.4248059,15491.5559352498,0,0,0,0,0,0,0,0,0.442993163987439,1.9356819469813,0.479647540434375,0.00578388438442721
1928,14266585.17185,5296596.17916444,1254135.30372867,15491.5559352498,0,0,0,0,0,0,0,0,0.452080803731906,1.97752246832603,0.483848496808901,0.00578388438442721
1929,14269903.81755,5296877.84382344,1254407.88243093,15773.2205942505,0,0,0,0,0,0,0,0,0.452185965268271,1.9776276298624,0.483953658345266,0.00588904592079246
1930,14346401.60365,5328591.2395761,1257735.5607372,15984.4692433949,0,0,0,0,0,0,0,0,0.454610033831787,1.98946805539729,0.485237484852315,0.00596791713089715
1931,15118683.43165,5662248.245594,1301738.5611806,15984.4692433949,0,0,0,0,0,0,0,0,0.47908216821463,2.11404131033229,0.502213951072761,0.00596791713089715
1932,15168022.63165,5683946.99247206,1303747.70441005,15984.4692433949,0,0,0,0,0,0,0,0,0.480645633116904,2.122142694322,0.50298908349153,0.00596791713089715
1933,15168022.63165,5683946.99247206,1303747.70441005,15984.4692433949,0,0,0,0,0,0,0,0,0.480645633116904,2.122142694322,0.50298908349153,0.00596791713089715
1934,15169681.9545,5684087.82480156,1303883.99376118,16125.3015728953,0,0,0,0,0,0,0,0,0.480698213885086,2.12219527509019,0.503041664259713,0.00602049789907978
1935,15169681.9545,5684087.82480156,1303883.99376118,16125.3015728953,0,0,0,0,0,0,0,0,0.480698213885086,2.12219527509019,0.503041664259713,0.00602049789907978
1936,15169681.9545,5684087.82480156,1303883.99376118,16125.3015728953,0,0,0,0,0,0,0,0,0.480698213885086,2.12219527509019,0.503041664259713,0.00602049789907978
1937,15380915.4045,5765168.52985395,1324704.46783849,16125.3015728953,0,0,0,0,0,0,0,0,0.487391797997947,2.15246734238872,0.511074254567317,0.00602049789907978
1938,15380915.4045,5765168.52985395,1324704.46783849,16125.3015728953,0,0,0,0,0,0,0,0,0.487391797997947,2.15246734238872,0.511074254567317,0.00602049789907978
1939,15380915.4045,5765168.52985395,1324704.46783849,16125.3015728953,0,0,0,0,0,0,0,0,0.487391797997947,2.15246734238872,0.511074254567317,0.00602049789907978
1940,15380915.4045,5765168.52985395,1324704.46783849,16125.3015728953,0,0,0,0,0,0,0,0,0.487391797997947,2.15246734238872,0.511074254567317,0.00602049789907978
1941,15380915.4045,5765168.52985395,1324704.46783849,16125.3015728953,0,0,0,0,0,0,0,0,0.487391797997947,2.15246734238872,0.511074254567317,0.00602049789907978
1942,15380915.4045,5765168.52985395,1324704.46783849,16125.3015728953,0,0,0,0,0,0,0,0,0.487391797997947,2.15246734238872,0.511074254567317,0.00602049789907978
1943,15380915.4045,5765168.52985395,1324704.46783849,16125.3015728953,0,0,0,0,0,0,0,0,0.487391797997947,2.15246734238872,0.511074254567317,0.00602049789907978
1944,15504263.4045,5845286.596692,1331299.93930378,16125.3015728953,0,0,0,0,0,0,0,0,0.491300460253631,2.18238000175179,0.513618803743743,0.00602049789907978
1945,15689285.4045,5931752.21815165,1336509.90121167,16125.3015728953,0,0,0,0,0,0,0,0,0.497163453637159,2.21466256651421,0.51562881991191,0.00602049789907978
1946,15689285.4045,5931752.21815165,1336509.90121167,16125.3015728953,0,0,0,0,0,0,0,0,0.497163453637159,2.21466256651421,0.51562881991191,0.00602049789907978
1947,16071664.2045,6087400.30959788,1363856.5067565,16125.3015728953,0,0,0,0,0,0,0,0,0.509280306629782,2.27277490651056,0.52617920785359,0.00602049789907978
1948,16071664.2045,6087400.30959788,1363856.5067565,16125.3015728953,0,0,0,0,0,0,0,0,0.509280306629782,2.27277490651056,0.52617920785359,0.00602049789907978
1949,16164175.2045,6114680.63543986,1376474.27870294,16125.3015728953,0,0,0,0,0,0,0,0,0.512211803321545,2.2829602133512,0.531047175425515,0.00602049789907978
1950,16264232.4586,6145869.88531697,1388053.72529176,16336.5502220397,0,0,0,0,0,0,0,0,0.515382426375897,2.29460494523483,0.535514554510711,0.00609936910918448
1951,17647198.4843,6687414.64156573,1492788.93816023,16618.2148810404,0,0,0,0,0,0,0,0,0.559205975242097,2.49679459437191,0.575921658240831,0.00620453064554973
1952,17770590.53285,6728037.60502976,1505705.57645584,17040.7118695414,0,0,0,0,0,0,0,0,0.563116033312102,2.51196147141195,0.580904929188208,0.0063622729500976
1953,17870099.3961,6771490.34046374,1508457.91159439,17111.1281891855,0,0,0,0,0,0,0,0,0.566269278909043,2.52818486427111,0.581966786880553,0.00638856339201967
1954,18470018.54505,6974019.6464077,1571768.90273314,17463.2091678303,0,0,0,0,0,0,0,0,0.585279569582288,2.60380064456679,0.606392323585318,0.00652001537030699
1955,18472081.6883,6974481.6935899,1571980.85302526,17533.6254874743,0,0,0,0,0,0,0,0,0.585344946646767,2.60397315322204,0.60647409453135,0.00654630581222907
1956,18472911.35155,6974552.10990954,1572048.99785072,17604.0418071184,0,0,0,0,0,0,0,0,0.585371237088689,2.60399944366396,0.606500384973272,0.00657259625415114
1957,18473741.0148,6974622.52622919,1572117.14267618,17674.4581267625,0,0,0,0,0,0,0,0,0.585397527530611,2.60402573410588,0.606526675415194,0.00659888669607321
1958,18480782.13025,6975657.71443975,1572627.70796173,18167.3717446954,0,0,0,0,0,0,0,0,0.585620647015299,2.60441222910684,0.606723652763013,0.00678291955820468
1959,18836112.47465,7161504.56723604,1584835.53620626,19012.3663412731,0,0,0,0,0,0,0,0,0.596880386171635,2.6737994949358,0.611433463042538,0.00709840439862347
1960,20070422.1379,7678151.55894736,1624415.76597525,19082.7826609172,0,0,0,0,0,0,0,0,0.635993299170406,2.86669338371691,0.626703613416379,0.00712469484054554
