"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1901,0,0,0,0,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05
1902,0,0,0,0,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05
1903,0,0,0,0,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05
1904,0,0,0,0,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05
1905,0,0,0,0,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05
1906,0,0,0,0,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05
1907,0,0,0,0,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05
1908,0,0,0,0,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05
1909,0,0,0,0,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05
1910,0,0,0,0,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05
1911,0,0,0,0,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05
1912,0,0,0,0,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05
1913,0,0,0,0,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05
1914,0,0,0,0,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05
1915,0,0,0,0,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05
1916,0,0,0,0,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05
1917,0,0,0,0,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05
1918,0,0,0,0,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05
1919,0,0,0,0,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05,4.0481532182422e-05
1920,829.66325,70.4163196440794,68.1448254620123,70.4163196440794,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,6.67719741044946e-05,6.67719741044946e-05,6.67719741044946e-05,6.67719741044946e-05
1921,829.66325,70.4163196440794,68.1448254620123,70.4163196440794,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,6.67719741044946e-05,6.67719741044946e-05,6.67719741044946e-05,6.67719741044946e-05
