"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1900,8177518.040975,2712101.35888365,1070777.95315135,37813.4814002053,0,0,0,0,0,0,0,0,0.259129909783222,1.01258264593924,0.413108778221972,0.0141179366040193
1901,8213288.960975,2727284.79024787,1074733.57429983,37813.4814002053,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.260283662603462,1.01827173055398,0.41465510739411,0.0141381773701105
1902,8213288.960975,2727284.79024787,1074733.57429983,37813.4814002053,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.260283662603462,1.01827173055398,0.41465510739411,0.0141381773701105
1903,8213288.960975,2727284.79024787,1074733.57429983,37813.4814002053,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.260283662603462,1.01827173055398,0.41465510739411,0.0141381773701105
1904,8482187.600975,2817483.73270277,1110822.77095601,37813.4814002053,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.268804546320855,1.05194815769514,0.428578408573194,0.0141381773701105
1905,8624710.339825,2865488.91170086,1128708.79606577,37954.3137297057,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.273320819385029,1.06987123826492,0.435478881223563,0.0141907581382932
1906,8715090.651075,2896908.67838915,1139848.23587141,38024.7300493498,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.276184798624579,1.08160203526622,0.439776504605368,0.0142170485802152
1907,9469154.42335833,3149098.50475701,1235402.66203975,38752.3639066621,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.300079637658071,1.17575892981814,0.476641638157969,0.0144887159403229
1908,9751886.27635833,3237736.75162553,1275053.53618652,39034.0291852384,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.309038869443758,1.20885265998112,0.491939043307188,0.0145938777080112
1909,9891272.74435833,3282207.88923505,1295042.26847622,39104.4451950947,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.313455760081829,1.22545628065373,0.499650745579449,0.0146201680342717
1910,9902374.06435833,3285886.38083073,1296542.68578243,39104.4451950947,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.313807539684841,1.22682967207983,0.500229610280916,0.0146201680342717
