"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1900,8300866.040975,2752106.1156404,1086705.77297117,37813.4814002053,0,0,0,0,0,0,0,0,0.263038572038907,1.02751871103659,0.419253770436408,0.0141179366040193
1901,8336636.960975,2767289.54700463,1090661.39411965,37813.4814002053,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.264192324859146,1.03320779565133,0.420800099608547,0.0141381773701105
1902,8336636.960975,2767289.54700463,1090661.39411965,37813.4814002053,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.264192324859146,1.03320779565133,0.420800099608547,0.0141381773701105
1903,8336636.960975,2767289.54700463,1090661.39411965,37813.4814002053,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.264192324859146,1.03320779565133,0.420800099608547,0.0141381773701105
1904,8605535.600975,2857488.48945952,1126750.59077583,37813.4814002053,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.272713208576539,1.0668842227925,0.434723400787631,0.0141381773701105
1905,8748058.339825,2905493.66845762,1144636.61588559,37954.3137297057,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.277229481640714,1.08480730336228,0.441623873437999,0.0141907581382932
1906,8838438.651075,2936913.4351459,1155776.05569122,38024.7300493498,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.280093460880263,1.09653810036358,0.445921496819805,0.0142170485802152
1907,9631490.66715833,3200357.45438948,1256092.07826995,39245.2772148072,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.305223762807005,1.19489682917315,0.484623666024559,0.0146727486867928
1908,9914222.52015833,3288995.701258,1295742.95241672,39526.9424933835,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.314182994592692,1.22799055933613,0.499921071173778,0.0147779104544811
1909,10053608.9881583,3333466.83886752,1315731.68470643,39597.3585032398,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.318599885230763,1.24459418000874,0.507632773446039,0.0148042007807417
1910,10064710.3081583,3337145.3304632,1317232.10201263,39597.3585032398,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.318951664833775,1.24596757143485,0.508211638147506,0.0148042007807417
1911,10416086.7281583,3470654.40938398,1358484.8572693,39597.3585032398,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.330086111686514,1.2958141510797,0.524127052984184,0.0148042007807417
1912,10837496.1011583,3535872.96578331,1398357.26566101,64947.1778133014,1280.8442408377,108.709572802104,105.202812389133,108.709572802104,0,0,0,0,0.343460115642481,1.32018431726259,0.539530273330786,0.0242890857923027
1913,11070032.5507583,3609821.80531246,1429785.85054883,64947.1778133014,1280.8442408377,108.709572802104,105.202812389133,108.709572802104,0,0,0,0,0.350828751077369,1.3477936510175,0.551655498981952,0.0242890857923027
