"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,829.66325,70.4163196440794,68.1448254620123,70.4163196440794,0,0,0,0,0,0,0,0,2.62904419220727e-05,2.62904419220727e-05,2.62904419220727e-05,2.62904419220727e-05
1923,829.66325,70.4163196440794,68.1448254620123,70.4163196440794,0,0,0,0,0,0,0,0,2.62904419220727e-05,2.62904419220727e-05,2.62904419220727e-05,2.62904419220727e-05
1924,829.66325,70.4163196440794,68.1448254620123,70.4163196440794,0,0,0,0,0,0,0,0,2.62904419220727e-05,2.62904419220727e-05,2.62904419220727e-05,2.62904419220727e-05
1925,829.66325,70.4163196440794,68.1448254620123,70.4163196440794,0,0,0,0,0,0,0,0,2.62904419220727e-05,2.62904419220727e-05,2.62904419220727e-05,2.62904419220727e-05
1926,829.66325,70.4163196440794,68.1448254620123,70.4163196440794,0,0,0,0,0,0,0,0,2.62904419220727e-05,2.62904419220727e-05,2.62904419220727e-05,2.62904419220727e-05
1927,829.66325,70.4163196440794,68.1448254620123,70.4163196440794,0,0,0,0,0,0,0,0,2.62904419220727e-05,2.62904419220727e-05,2.62904419220727e-05,2.62904419220727e-05
1928,829.66325,70.4163196440794,68.1448254620123,70.4163196440794,0,0,0,0,0,0,0,0,2.62904419220727e-05,2.62904419220727e-05,2.62904419220727e-05,2.62904419220727e-05
1929,829.66325,70.4163196440794,68.1448254620123,70.4163196440794,0,0,0,0,0,0,0,0,2.62904419220727e-05,2.62904419220727e-05,2.62904419220727e-05,2.62904419220727e-05
1930,1660152.51325,140902.745819986,136357.495954825,140902.745819986,0,0,0,0,0,0,0,0,0.0526070586245469,0.0526070586245469,0.0526070586245469,0.0526070586245469
1931,1660152.51325,140902.745819986,136357.495954825,140902.745819986,0,0,0,0,0,0,0,0,0.0526070586245469,0.0526070586245469,0.0526070586245469,0.0526070586245469
1932,1660152.51325,140902.745819986,136357.495954825,140902.745819986,0,0,0,0,0,0,0,0,0.0526070586245469,0.0526070586245469,0.0526070586245469,0.0526070586245469
1933,1660152.51325,140902.745819986,136357.495954825,140902.745819986,0,0,0,0,0,0,0,0,0.0526070586245469,0.0526070586245469,0.0526070586245469,0.0526070586245469
