"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1925,2680402.09965,227494.770949076,220156.229950719,227494.770949076,0,0,0,0,0,0,0,0,0.0849368171106168,0.0849368171106168,0.0849368171106168,0.0849368171106168
1926,2680402.09965,227494.770949076,220156.229950719,227494.770949076,0,0,0,0,0,0,0,0,0.0849368171106168,0.0849368171106168,0.0849368171106168,0.0849368171106168
1927,2680402.09965,227494.770949076,220156.229950719,227494.770949076,0,0,0,0,0,0,0,0,0.0849368171106168,0.0849368171106168,0.0849368171106168,0.0849368171106168
1928,2680402.09965,227494.770949076,220156.229950719,227494.770949076,0,0,0,0,0,0,0,0,0.0849368171106168,0.0849368171106168,0.0849368171106168,0.0849368171106168
1929,2680402.09965,227494.770949076,220156.229950719,227494.770949076,0,0,0,0,0,0,0,0,0.0849368171106168,0.0849368171106168,0.0849368171106168,0.0849368171106168
1930,2680402.09965,227494.770949076,220156.229950719,227494.770949076,0,0,0,0,0,0,0,0,0.0849368171106168,0.0849368171106168,0.0849368171106168,0.0849368171106168
1931,2680402.09965,227494.770949076,220156.229950719,227494.770949076,0,0,0,0,0,0,0,0,0.0849368171106168,0.0849368171106168,0.0849368171106168,0.0849368171106168
1932,2680402.09965,227494.770949076,220156.229950719,227494.770949076,0,0,0,0,0,0,0,0,0.0849368171106168,0.0849368171106168,0.0849368171106168,0.0849368171106168
1933,2680402.09965,227494.770949076,220156.229950719,227494.770949076,0,0,0,0,0,0,0,0,0.0849368171106168,0.0849368171106168,0.0849368171106168,0.0849368171106168
1934,2680402.09965,227494.770949076,220156.229950719,227494.770949076,0,0,0,0,0,0,0,0,0.0849368171106168,0.0849368171106168,0.0849368171106168,0.0849368171106168
1935,2680402.09965,227494.770949076,220156.229950719,227494.770949076,0,0,0,0,0,0,0,0,0.0849368171106168,0.0849368171106168,0.0849368171106168,0.0849368171106168
