"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,11118724.63498,943683.678807337,913242.269813552,943683.678807337,0,0,0,0,0,0,0,0,0.352331122613253,0.352331122613253,0.352331122613253,0.352331122613253
1905,11118724.63498,943683.678807337,913242.269813552,943683.678807337,0,0,0,0,0,0,0,0,0.352331122613253,0.352331122613253,0.352331122613253,0.352331122613253
1906,11118724.63498,943683.678807337,913242.269813552,943683.678807337,0,0,0,0,0,0,0,0,0.352331122613253,0.352331122613253,0.352331122613253,0.352331122613253
1907,11118724.63498,943683.678807337,913242.269813552,943683.678807337,0,0,0,0,0,0,0,0,0.352331122613253,0.352331122613253,0.352331122613253,0.352331122613253
1908,11118724.63498,943683.678807337,913242.269813552,943683.678807337,0,0,0,0,0,0,0,0,0.352331122613253,0.352331122613253,0.352331122613253,0.352331122613253
1909,11118724.63498,943683.678807337,913242.269813552,943683.678807337,0,0,0,0,0,0,0,0,0.352331122613253,0.352331122613253,0.352331122613253,0.352331122613253
1910,11118724.63498,943683.678807337,913242.269813552,943683.678807337,0,0,0,0,0,0,0,0,0.352331122613253,0.352331122613253,0.352331122613253,0.352331122613253
1911,11118724.63498,943683.678807337,913242.269813552,943683.678807337,0,0,0,0,0,0,0,0,0.352331122613253,0.352331122613253,0.352331122613253,0.352331122613253
1912,11118724.63498,943683.678807337,913242.269813552,943683.678807337,0,0,0,0,0,0,0,0,0.352331122613253,0.352331122613253,0.352331122613253,0.352331122613253
1913,11118724.63498,943683.678807337,913242.269813552,943683.678807337,0,0,0,0,0,0,0,0,0.352331122613253,0.352331122613253,0.352331122613253,0.352331122613253
1914,11118724.63498,943683.678807337,913242.269813552,943683.678807337,0,0,0,0,0,0,0,0,0.352331122613253,0.352331122613253,0.352331122613253,0.352331122613253
1915,11118724.63498,943683.678807337,913242.269813552,943683.678807337,0,0,0,0,0,0,0,0,0.352331122613253,0.352331122613253,0.352331122613253,0.352331122613253
1916,11118724.63498,943683.678807337,913242.269813552,943683.678807337,0,0,0,0,0,0,0,0,0.352331122613253,0.352331122613253,0.352331122613253,0.352331122613253
1917,11119554.29823,943754.095126981,913310.414639015,943754.095126981,0,0,0,0,0,0,0,0,0.352357413055175,0.352357413055175,0.352357413055175,0.352357413055175
1918,11119554.29823,943754.095126981,913310.414639015,943754.095126981,0,0,0,0,0,0,0,0,0.352357413055175,0.352357413055175,0.352357413055175,0.352357413055175
1919,11119554.29823,943754.095126981,913310.414639015,943754.095126981,0,0,0,0,0,0,0,0,0.352357413055175,0.352357413055175,0.352357413055175,0.352357413055175
1920,11156558.69823,958784.188738328,915862.906286487,943754.095126981,0,0,0,0,0,0,0,0,0.353530011731881,0.357969007145433,0.353342170635219,0.352357413055175
1921,11215361.92148,982015.347024577,920412.618829945,943824.511446626,0,0,0,0,0,0,0,0,0.355393373433975,0.366642528010968,0.355097460968343,0.352383703497097
1922,11215361.92148,982015.347024577,920412.618829945,943824.511446626,0,0,0,0,0,0,0,0,0.355393373433975,0.366642528010968,0.355097460968343,0.352383703497097
1923,11215361.92148,982015.347024577,920412.618829945,943824.511446626,0,0,0,0,0,0,0,0,0.355393373433975,0.366642528010968,0.355097460968343,0.352383703497097
1924,11337922.406005,1030940.8990325,929146.585664385,944000.552245736,0,0,0,0,0,0,0,0,0.359277080830133,0.384909236496602,0.35846704693842,0.352449429601903
