"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1900,920466.83185,272922.844418148,141654.248074031,3661.29784551543,0,0,0,0,0,0,0,0,0.0291678337975638,0.101897716703311,0.0546505586705367,0.0013669720152014
1901,920466.83185,272922.844418148,141654.248074031,3661.29784551543,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.029188074563655,0.101917957469402,0.0546707994366279,0.00138721278129261
1902,920466.83185,272922.844418148,141654.248074031,3661.29784551543,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.029188074563655,0.101917957469402,0.0546707994366279,0.00138721278129261
1903,920466.83185,272922.844418148,141654.248074031,3661.29784551543,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.029188074563655,0.101917957469402,0.0546707994366279,0.00138721278129261
1904,1028609.2551,306276.386997107,157075.634270581,3731.71416515951,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.0326149011680229,0.114370743677197,0.0606204083087536,0.00141350322321469
1905,1094813.35835,327139.619107955,166490.022162216,3802.13048480359,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.034712782605458,0.122160182189312,0.0642525024027488,0.00143979366513676
1906,1159783.9816,347863.952977154,175625.777265466,3872.54680444767,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.0367715774203361,0.129897762038923,0.0677770992790025,0.00146608410705883
1907,1163484.4216,349011.646986096,176155.19938171,3872.54680444767,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.0368888372880067,0.130326261892919,0.0679813516386647,0.00146608410705883
1908,1163484.4216,349011.646986096,176155.19938171,3872.54680444767,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.0368888372880067,0.130326261892919,0.0679813516386647,0.00146608410705883
1909,1174342.27725,352038.914737613,177730.101592506,3942.96312409175,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.0372329019713159,0.131456514189632,0.0685889528002369,0.0014923745489809
1910,4658920.26225,647786.806688331,463937.738964169,299690.85507481,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,0.147672755920919,0.241896368139236,0.17902880674984,0.111932228498584
1911,4860387.7823,713423.665720209,492211.659961048,299761.271394454,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,0.154056876387938,0.266402363894865,0.189936955282587,0.111958518940506
1912,4860387.7823,713423.665720209,492211.659961048,299761.271394454,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,0.154056876387938,0.266402363894865,0.189936955282587,0.111958518940506
1913,5136070.5623,801183.606898247,531842.400220064,299761.271394454,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,0.162792736529394,0.299168172279736,0.205226592728195,0.111958518940506
1914,5225497.8623,833067.21599889,542558.356768244,299761.271394454,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,0.165626516664765,0.311072148198435,0.209360835223635,0.111958518940506
1915,5288046.31135,853784.668320762,551059.98924951,299866.895719027,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,0.167608557410893,0.31880715877261,0.212640786026592,0.111997954545559
1916,5426196.07135,907232.977951289,566770.236033277,299866.895719027,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,0.17198625913726,0.338762471508022,0.218701838026502,0.111997954545559
1917,5629543.95655,945523.371374109,587850.834808568,310006.823443051,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,0.178429964780275,0.353058466662898,0.226834785084871,0.115783769854708
1918,5651129.85655,952781.057288651,590808.375439895,310006.823443051,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,0.17911398067502,0.355768176159068,0.227975811563006,0.115783769854708
1919,5757825.87655,991824.043851805,603905.384564015,310006.823443051,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,0.182494973526187,0.370345157402779,0.233028670021386,0.115783769854708
1920,5900416.16455,1040301.72005499,623209.755147214,310006.823443051,2075.9375,176.191820670773,170.508213552361,176.191820670773,0,0,0,0,0.187038688051373,0.388469949176995,0.24050164481511,0.115809070812322
1921,6057684.86455,1092034.16600344,644999.591863152,310006.823443051,2075.9375,176.191820670773,170.508213552361,176.191820670773,0,0,0,0,0.192022232427371,0.407784631804105,0.248908217622185,0.115809070812322
1922,6404484.22804,1195153.03161319,696178.614820919,310147.655772552,2714.6875,230.404688569473,222.97227926078,230.404688569473,0,0,0,0,0.203031881877583,0.446305046408959,0.268673451813341,0.115881892346595
1923,6418490.45129,1198931.85457531,698169.228161999,310289.515103832,2714.6875,230.404688569473,222.97227926078,230.404688569473,0,0,0,0,0.203475712309871,0.44771589727594,0.269441435355424,0.115934856553316
1924,6468042.57454,1214656.45589306,704985.045060791,310359.931423476,2714.6875,230.404688569473,222.97227926078,230.404688569473,0,0,0,0,0.205045924342789,0.453586790838423,0.272070994344156,0.115961146995238
1925,6543284.85454,1238827.7915501,715685.824354819,310359.931423476,2714.6875,230.404688569473,222.97227926078,230.404688569473,0,0,0,0,0.207430208318757,0.462611333721129,0.276199381417469,0.115961146995238
1926,6581425.82224,1251398.69361986,720503.042958913,310613.430174194,2714.6875,230.404688569473,222.97227926078,230.404688569473,0,0,0,0,0.208638822652546,0.467304770873816,0.278057876249295,0.116055792586157
1927,6670853.12224,1284279.37184702,731777.244858843,310613.430174194,2714.6875,230.404688569473,222.97227926078,230.404688569473,0,0,0,0,0.211472602787918,0.47958100975791,0.282407491179824,0.116055792586157
1928,6799408.74949,1326332.27685045,745862.736966905,311740.089119985,2714.6875,230.404688569473,222.97227926078,230.404688569473,0,0,0,0,0.215546284793204,0.495281765807581,0.287841708814107,0.11647643884728
1929,6799906.54744,1326374.52664224,745903.623862182,311782.338911771,2714.6875,230.404688569473,222.97227926078,230.404688569473,0,0,0,0,0.215562059058357,0.495297540072734,0.28785748307926,0.116492213112433
1930,6799906.54744,1326374.52664224,745903.623862182,311782.338911771,3353.4375,284.617556468172,275.436344969199,284.617556468172,0,0,0,0,0.215582299824448,0.495317780838825,0.287877723845352,0.116512453878524
1931,7044628.97744,1415758.25091058,774209.061259528,311782.338911771,3353.4375,284.617556468172,275.436344969199,284.617556468172,0,0,0,0,0.223337085676351,0.528689840377481,0.298798031483216,0.116512453878524
1932,7150214.86544,1451354.569687,788917.846208933,311782.338911771,3353.4375,284.617556468172,275.436344969199,284.617556468172,0,0,0,0,0.226682900567217,0.541979983289826,0.304472717034685,0.116512453878524
1933,7161316.18544,1455660.22183653,790182.530907612,311782.338911771,3353.4375,284.617556468172,275.436344969199,284.617556468172,0,0,0,0,0.227034680170228,0.543587529641951,0.304960635514113,0.116512453878524
1934,7185985.78544,1462595.83669639,794091.383126139,311782.338911771,3353.4375,284.617556468172,275.436344969199,284.617556468172,0,0,0,0,0.227816412621365,0.546176991581862,0.306468680351508,0.116512453878524
1935,7194131.15939,1465383.08053249,795137.638210486,311824.588703558,3353.4375,284.617556468172,275.436344969199,284.617556468172,0,0,0,0,0.228074523946371,0.547217629214815,0.306872328146395,0.116528228143678
1936,20468713.95939,2592041.71653523,1885452.44724539,1438483.2247063,3353.4375,284.617556468172,275.436344969199,284.617556468172,0,0,0,0,0.648720669407369,0.967863774675813,0.727518473607393,0.537174373604676
1937,20533348.31139,2612088.10522475,1894699.6868758,1438483.2247063,3353.4375,284.617556468172,275.436344969199,284.617556468172,0,0,0,0,0.650768808429348,0.97534823879227,0.731086081489493,0.537174373604676
1938,20705091.17304,2667493.09161195,1919574.71685314,1438553.64102594,3353.4375,284.617556468172,275.436344969199,284.617556468172,0,0,0,0,0.656211011310746,0.99603409093803,0.740682929474581,0.537200664046598
1939,20718255.63629,2671486.68072239,1921406.30376656,1438624.05734558,3353.4375,284.617556468172,275.436344969199,284.617556468172,0,0,0,0,0.656628167978237,0.997525126298857,0.741389560228215,0.53722695448852
1940,20757973.69229,2685799.79287624,1925623.85653579,1438624.05734558,5269.6875,447.256160164271,432.828542094456,447.256160164271,460,39.0417522245038,37.782340862423,39.0417522245038,0.657962056043235,1.00294432899814,0.743092001318963,0.537302253307188
1941,20868986.89229,2724723.16731857,1940539.3904837,1438624.05734558,5269.6875,447.256160164271,432.828542094456,447.256160164271,460,39.0417522245038,37.782340862423,39.0417522245038,0.661479852073352,1.01747665219197,0.748846451144545,0.537302253307188
1942,20873920.81965,2726177.95494103,1941280.72363646,1438624.05734558,8367.77083333333,710.200946840064,687.291238877481,710.200946840064,460,39.0417522245038,37.782340862423,39.0417522245038,0.661734371133525,1.01811798000302,0.749230631642053,0.53740042564391
1943,21086909.1349,2792192.76932111,1971869.45010337,1438694.47366523,8367.77083333333,710.200946840064,687.291238877481,710.200946840064,460,39.0417522245038,37.782340862423,39.0417522245038,0.668483563570529,1.04276508811984,0.761031837840707,0.537426716085832
1944,21363056.52195,2896362.0244345,2006483.25844718,1439581.92961745,12056.7708333333,1023.2988250057,990.289185489391,1023.2988250057,460,39.0417522245038,37.782340862423,39.0417522245038,0.67735104357693,1.08177432982815,0.774502827921889,0.537874951536247
1945,21522712.8825,2948849.01283787,2027642.82629901,1440004.42660595,12695.5208333333,1077.5116929044,1042.75325119781,1077.5116929044,460,39.0417522245038,37.782340862423,39.0417522245038,0.682430489116198,1.10139096710088,0.782686482211062,0.538052934606886
1946,21803852.04625,3038340.91394106,2067245.90011476,1440511.4237976,12695.5208333333,1077.5116929044,1042.75325119781,1077.5116929044,460,39.0417522245038,37.782340862423,39.0417522245038,0.691339251625071,1.13480341524275,0.797965445874544,0.538242225673063
1947,21951561.27625,3083036.55044627,2089048.72575095,1440511.4237976,12695.5208333333,1077.5116929044,1042.75325119781,1077.5116929044,460,39.0417522245038,37.782340862423,39.0417522245038,0.696019874676253,1.15149085420079,0.806377029839124,0.538242225673063
1948,22168916.62803,3154696.43726008,2118195.89194267,1440863.50477625,12695.5208333333,1077.5116929044,1042.75325119781,1077.5116929044,460,39.0417522245038,37.782340862423,39.0417522245038,0.702907450150307,1.17824559091443,0.817622078524203,0.53837367765135
1949,22173894.60388,3155118.93486816,2118604.76059565,1441286.00238432,12695.5208333333,1077.5116929044,1042.75325119781,1077.5116929044,460,39.0417522245038,37.782340862423,39.0417522245038,0.703065192686178,1.1784033334503,0.817779821060074,0.538531420187221
1950,22178944.52753,3155806.54568203,2119103.55920491,1441609.91683511,228540.069438728,71201.4889313677,30290.0908080006,1773.43141049138,460,39.0417522245038,37.782340862423,39.0417522245038,0.710064916120641,1.20484135168967,0.829255953840192,0.538912182645545
1951,22263028.2386,3181410.29461088,2131172.54862624,1441821.16548426,228540.069438728,71201.4889313677,30290.0908080006,1773.43141049138,460,39.0417522245038,37.782340862423,39.0417522245038,0.712729368140756,1.21440069642117,0.833912199758911,0.53899105385565
1952,22498147.82719,3257524.8963768,2163418.28684038,1442356.32858419,228540.069438728,71201.4889313677,30290.0908080006,1773.43141049138,460,39.0417522245038,37.782340862423,39.0417522245038,0.720179858310795,1.24281863316173,0.846352685181036,0.539190860867273
1953,22740821.73206,3343030.30498009,2194027.82181927,1442849.24251191,229178.819438728,71255.7017992664,30342.554873709,1827.64427839008,460,39.0417522245038,37.782340862423,39.0417522245038,0.72788997108458,1.27476293627971,0.858182160121079,0.539395134611157
1954,22823818.32165,3369623.69006478,2205077.10398394,1443271.73950041,229817.569438728,71309.9146671651,30395.0189394174,1881.85714628878,460,39.0417522245038,37.782340862423,39.0417522245038,0.730540215069864,1.28471200958937,0.86246524122848,0.539573117681796
1955,23266633.69385,3524606.13765174,2262316.5214989,1443694.2367987,230456.319438728,71364.1275350638,30447.4830051259,1936.07001418748,460,39.0417522245038,37.782340862423,39.0417522245038,0.74459242823563,1.34259606740555,0.884568590603736,0.539751100868097
1956,23346450.12565,3545905.89553945,2274520.09103333,1444187.15010684,233317.919438728,71607.00118325,30682.5220194996,2178.94366237365,53660,15647.575346102,8005.99312983927,70.444900752909,0.748898143239306,1.35646672344265,0.892441591891461,0.540037536839146
1957,23353944.98685,3547837.0434663,2275555.7878127,1444299.81621827,233956.669438728,71661.2140511487,30734.986085208,2233.15653027235,53660,15647.575346102,8005.99312983927,70.444900752909,0.749155881825257,1.35720797224595,0.892861407032309,0.540099842312313
1958,23362836.3223,3549322.48680152,2276473.19497186,1444792.72983621,235234.169438728,71769.6397869461,30839.9142166248,2341.58226606975,53660,15647.575346102,8005.99312983927,70.444900752909,0.749478112775963,1.35780305478441,0.893255826511699,0.540324356706627
1959,23855478.0197,3712320.09577267,2340874.36754827,1447538.96041636,241431.919514814,73327.3685739474,31683.6495123902,2450.59480256427,53660,15647.575346102,8005.99312983927,70.444900752909,0.765285380992687,1.41924097957464,0.918427473067323,0.541390382362483
1960,24825797.95588,4021490.52153789,2469536.9807635,1451904.76278619,269218.375172374,80044.9372947889,35380.0195970606,3046.93634944997,53660,15647.575346102,8005.99312983927,70.444900752909,0.796913463984979,1.53718004561633,0.96949189563673,0.543243034661137
1961,25047684.84138,4087405.38270359,2496215.22833693,1454510.1619662,270176.500172374,80126.2565966369,35458.7156956232,3128.25565129801,60124.5,17442.8060431881,8856.12436194318,172.674880219028,0.804179843890295,1.56249045898425,0.980142773300346,0.54428430872824
1962,25334703.88708,4177796.75887418,2535446.75610974,1454791.8266252,297203.778835094,88005.1500545961,39189.2829235477,3318.00068894346,60124.5,17442.8060431881,8856.12436194318,172.674880219028,0.814131371394374,1.59918037446683,0.996717655630876,0.544460312945924
1963,25474938.81278,4219695.95594862,2555776.7454014,1455073.4912842,297203.778835094,88005.1500545961,39189.2829235477,3318.00068894346,60124.5,17442.8060431881,8856.12436194318,172.674880219028,0.818575148034549,1.61482374255018,1.0045610156971,0.544565474482289
1964,25721869.78148,4293264.86162921,2592204.70620559,1455355.1559432,298802.181945142,88140.811920199,39320.5685999377,3453.66255454643,60124.5,17442.8060431881,8856.12436194318,172.674880219028,0.826450568592832,1.64234187559461,1.01866566325906,0.544721286356768
1965,25854344.06263,4334820.93267108,2609564.24867191,1456129.73422014,299121.556945142,88167.9183541484,39346.8006327919,3480.76898849578,61073.5,17523.3508754948,8934.07097385283,253.219712525667,0.830688617625394,1.65789732747189,1.02540320998401,0.545050673133646
1966,26425533.40703,4513218.05160612,2690501.5303629,1456974.72881671,369718.999127849,108353.459499563,48984.565308814,4125.12715843024,62212.17,17977.170610342,9069.05685935347,253.219712525667,0.851061695951462,1.73220903588561,1.06039936440242,0.545606733754357
1967,26467991.55473,4526718.82833274,2696049.32961408,1457228.22756743,370038.374127849,108380.565933512,49010.7973416682,4152.23359237959,62212.17,17977.170610342,9069.05685935347,253.219712525667,0.852417233847246,1.7372597688458,1.06254983943484,0.545711499728322
1968,26585282.28158,4563888.65200147,2711178.61852007,1458284.47050337,370677.124127849,108434.778801411,49063.2614073766,4206.44646027829,62212.17,17977.170610342,9069.05685935347,253.219712525667,0.856154193465531,1.75115763194938,1.06840699721713,0.546126096429275
1969,26609342.46473,4565930.72093412,2713154.81426134,1460326.53943602,427087.823775438,113222.545232828,53696.5837603613,8994.21289169583,68729.92,18530.3540463447,9604.39566838837,806.403148528405,0.858910696900444,1.75391413538429,1.07116350065204,0.548882599864187
1970,27407176.42043,4821407.23796532,2824643.09261151,1462086.9452586,534459.609283032,122335.550984328,62515.6215843936,18107.2186431959,68729.92,18530.3540463447,9604.39566838837,806.403148528405,0.887594935917593,1.85270054622013,1.11757836028715,0.552942266670522
1971,27604606.59538,4865963.90567614,2850482.83723765,1468255.5782502,546711.895203073,123375.443834489,63521.9695039042,19147.1114933568,82004.24,19656.9903776246,10694.6888922077,1933.03947980835,0.894660009968536,1.87014498950428,1.12835628689574,0.556054259716012
1972,27761339.24983,4894840.70496003,2867319.21064256,1475930.94098244,549479.811869739,123610.36626205,63749.3137886407,19382.0339209178,82004.24,19656.9903776246,10694.6888922077,1933.03947980835,0.899714278072469,1.88101406123048,1.13493951131304,0.559007621857514
1973,27798204.12986,4899347.73456542,2870732.92571627,1478536.3396982,658745.20322418,145574.324486685,76034.3086461626,24036.813318026,82004.24,19656.9903776246,10694.6888922077,1933.03947980835,0.904344866944387,1.8908971958743,1.14099611236676,0.561718261833942
1974,28062044.04196,5007099.86224549,2902967.5419796,1479310.91890449,663231.708612926,145955.109338297,76402.8101154641,24417.5981696375,82004.24,19656.9903776246,10694.6888922077,1933.03947980835,0.912847618024594,1.93126940037388,1.15357447568953,0.56214962535616
1975,28107406.33451,5017797.71802411,2908512.52599926,1480648.82649943,664405.806499688,146054.758987824,76499.2452601674,24517.2478191642,82004.24,19656.9903776246,10694.6888922077,1933.03947980835,0.914322267251302,1.93530072707197,1.15575094913258,0.562686347744325
1976,28242053.75591,5033358.59393101,2920728.79610409,1490507.09142318,684095.501357965,147725.889831373,78116.4686571511,26188.3786627141,83099.24,19749.9267225938,10784.627290565,2025.97582477755,0.919247613800415,1.94176911980473,1.16112264353851,0.567025629446935
1977,28262090.48196,5037001.73146282,2923004.67749125,1491422.50295898,746558.56397278,157738.645115975,83741.1860008413,30170.0456235541,83829.24,19811.8842859066,10844.5862228032,2087.93338809035,0.921885006652368,1.94689077839931,1.16419384634062,0.568877121404801
1978,28374094.84004,5046507.9192807,2932204.2140892,1500928.69077685,1385573.66496347,251488.896890772,144524.985767887,70952.2975199577,83829.24,19811.8842859066,10844.5862228032,2087.93338809035,0.945683377221445,1.98544231647901,1.1911935903086,0.587652673866824
1979,28491440.648565,5089154.22343307,2946006.87773793,1502513.05672969,1621255.23821564,300039.894247824,172464.646547217,79846.2658406095,137904.24,29840.723458816,16744.1159365102,4733.86083504449,0.9585836732445,2.02323582778514,1.2095739352707,0.592552711844888
1980,28821285.2110533,5198693.11459391,2984966.19488563,1505059.77812164,1770427.59934234,339884.315005435,191785.363150153,82780.9276313566,144059.24,31655.5490861324,17668.9178685838,4733.86083504449,0.973957843764915,2.07968674532761,1.23241530706187,0.594599225876658
1981,28845345.4161033,5200735.18538528,2986942.39242567,1507101.84891302,1784203.30767567,341061.863549659,192920.087812818,83946.5042911786,144059.24,31655.5490861324,17668.9178685838,4733.86083504449,0.97515679151073,2.0808888134786,1.23361550852896,0.595796824238067
1982,28904941.5991033,5215346.92628234,2993948.55074834,1508862.25535518,1802943.87487037,343502.293070596,194533.549777109,85275.2593541125,144059.24,31655.5490861324,17668.9178685838,4733.86083504449,0.977639133329965,2.08725536456058,1.23694097931868,0.59695018501506
1983,28941821.1912033,5225435.99781544,2998426.44828766,1509636.83456148,1824419.03316556,345324.962220906,196297.423148377,87097.9285044229,144059.24,31655.5490861324,17668.9178685838,4733.86083504449,0.979488283784853,2.09170269904513,1.23934906994777,0.597919886462419
1984,29053995.9197533,5259493.69326712,3014625.98885509,1509735.41740898,1842846.56338105,348282.884003289,198188.013515836,88136.7767492182,145884.24,31810.4429944143,17818.8151991793,4888.75474332649,0.983684650389585,2.10558057805586,1.2463861178897,0.598402385342564
1985,29818562.6262533,5514916.32203117,3121331.27165418,1509876.25004827,2049757.0760629,365844.077413658,215182.716816194,105697.970159588,145884.24,31810.4429944143,17818.8151991793,4888.75474332649,1.01446890582035,2.20750106124524,1.29410987795893,0.605011564721916
1986,30317167.5587533,5681231.76114901,3188159.41167108,1510580.41324471,2061472.29264373,366838.387376713,216144.952264312,106692.280122643,231939.24,58843.095937818,30032.7327866989,5012.66986995209,1.03336689391453,2.28006020178597,1.32497573176007,0.605691966561119
1987,30380021.4388033,5699795.58827468,3196210.27162071,1511447.92848619,2073049.84642436,367821.013433386,217095.880706252,107674.906179315,231939.24,58843.095937818,30032.7327866989,5012.66986995209,1.03572548372588,2.28735801136719,1.32844864394817,0.606382730187967
1988,30720887.7653033,5815037.30520441,3242822.57611298,1511588.76112547,2091565.70546709,369392.516870277,218616.690483889,109246.409616206,248729.24,60268.1198940123,31411.7882281774,6437.69382614647,1.04764566097455,2.33150311453431,1.3475505612751,0.607554086233507
1989,30725036.0779033,5815389.38649285,3243163.2999405,1511940.84241391,2096036.95546709,369772.006945568,218983.938943848,109625.899691497,248729.24,60268.1198940123,31411.7882281774,6437.69382614647,1.04791879843114,2.3317762519909,1.34782369873168,0.607827223690095
1990,30763699.8044033,5827601.19320208,3248569.85639325,1512081.67505319,2102943.97213376,370358.228757112,219551.250374375,110212.121503042,248729.24,60268.1198940123,31411.7882281774,6437.69382614647,1.04936284814235,2.33655448844579,1.35012843171134,0.608098674724605
1991,30766188.7941533,5827812.44216101,3248774.29086963,1512292.92401213,2112525.22213376,371171.421775593,220338.211360001,111025.314521522,248729.24,60268.1198940123,31411.7882281774,6437.69382614647,1.04974533095949,2.33693697126292,1.35051091452848,0.608481157541739
1992,30762356.1942533,5826891.44094235,3248266.25115211,1512208.42442855,2132668.0930218,372881.015197986,221992.656607479,112734.907943916,248729.24,60268.1198940123,31411.7882281774,6437.69382614647,1.05026217225883,2.33723139786229,1.35095320061256,0.60908789807296
1993,30628362.0892033,5774948.85295392,3231178.28116697,1511457.72619199,2159894.47162368,375191.80982265,224228.909470057,115045.702568579,248729.24,60268.1198940123,31411.7882281774,6437.69382614647,1.04687890716743,2.3187010090616,1.34522337147577,0.609670371336138
1994,30629191.7524533,5775019.26927356,3231246.42599243,1511528.14251163,2193165.15634463,378015.605103552,226961.614580607,117869.497849481,248729.24,60268.1198940123,31411.7882281774,6437.69382614647,1.04795948198843,2.31978158388259,1.34630394629676,0.61075094615713
