"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1900,4466395.347705,1098422.12821517,632976.390670889,101882.827029701,319.375,27.1064339493498,26.2320328542094,27.1064339493498,410680.75,104374.780443484,61616.909602613,4027.24161533196,0.154555336042823,0.449083040282482,0.267985930673748,0.0395524100503968
1901,4466395.347705,1098422.12821517,632976.390670889,101882.827029701,1277.5,108.425735797399,104.928131416838,108.425735797399,410680.75,104374.780443484,61616.909602613,4027.24161533196,0.15458569719196,0.449113401431619,0.268016291822885,0.0395827711995336
1902,4490470.233805,1105810.42367057,636661.191266775,102094.075678846,1277.5,108.425735797399,104.928131416838,108.425735797399,410680.75,104374.780443484,61616.909602613,4027.24161533196,0.15534858429681,0.451871874943939,0.269437896991051,0.0396616424096383
1903,4641615.582355,1151826.04522137,660089.991183598,102835.851884805,1277.5,108.425735797399,104.928131416838,108.425735797399,410680.75,104374.780443484,61616.909602613,4027.24161533196,0.160138091374344,0.469052139859859,0.27847678584785,0.0399385899178369
1904,4641615.582355,1151826.04522137,660089.991183598,102835.851884805,1277.5,108.425735797399,104.928131416838,108.425735797399,410680.75,104374.780443484,61616.909602613,4027.24161533196,0.160138091374344,0.469052139859859,0.27847678584785,0.0399385899178369
1905,4808377.530605,1165979.69449104,673787.071121997,116989.501154483,1277.5,108.425735797399,104.928131416838,108.425735797399,410680.75,104374.780443484,61616.909602613,4027.24161533196,0.165422458634529,0.474336507120044,0.283761153108035,0.0452229571780214
1906,5229326.765455,1291394.37960175,740091.164001053,117418.508746972,1277.5,108.425735797399,104.928131416838,108.425735797399,410680.75,104374.780443484,61616.909602613,4027.24161533196,0.178761534953704,0.521160986328044,0.309341435854584,0.045383130263628
1907,5229326.765455,1291394.37960175,740091.164001053,117418.508746972,1277.5,108.425735797399,104.928131416838,108.425735797399,410680.75,104374.780443484,61616.909602613,4027.24161533196,0.178761534953704,0.521160986328044,0.309341435854584,0.045383130263628
1908,10228356.884005,3602109.7086692,1279422.41499731,118230.956581304,1277.5,108.425735797399,104.928131416838,108.425735797399,410680.75,104374.780443484,61616.909602613,4027.24161533196,0.337171240335292,1.38388325673853,0.517416764171042,0.0456864635351082
1909,10230016.210505,3602250.54130849,1279558.70464823,118371.789220593,1277.5,108.425735797399,104.928131416838,108.425735797399,410680.75,104374.780443484,61616.909602613,4027.24161533196,0.337223821219136,1.38393583762237,0.517469345054886,0.0457390444189523
