"period","month","N","numPositive.sen.","sumNegative.sen.","percPositive.sen.p_char","T1.sig"
"1900-2022",1,22,5,17,"0.02",""
"1900-2022",2,22,3,19,"<0.0001","*"
"1900-2022",3,22,3,19,"<0.0001","**"
"1900-2022",4,22,5,17,"0.02",""
"1900-2022",5,22,7,15,"0.13",""
"1900-2022",6,22,6,16,"0.05",""
"1900-2022",7,22,6,16,"0.05",""
"1900-2022",8,22,6,16,"0.05",""
"1900-2022",9,22,5,17,"0.02",""
"1900-2022",10,22,4,18,"0.004","*"
"1900-2022",11,22,5,17,"0.02",""
"1900-2022",12,22,4,18,"0.004","*"
"1925-2022",1,68,28,40,"0.18",""
"1925-2022",2,68,22,46,"0.005",""
"1925-2022",3,68,31,37,"0.54",""
"1925-2022",4,68,29,39,"0.27",""
"1925-2022",5,68,35,33,"0.9",""
"1925-2022",6,68,32,36,"0.72",""
"1925-2022",7,68,34,34,"1",""
"1925-2022",8,68,32,36,"0.72",""
"1925-2022",9,68,29,39,"0.27",""
"1925-2022",10,68,30,38,"0.4",""
"1925-2022",11,68,31,37,"0.54",""
"1925-2022",12,68,31,37,"0.54",""
"1950-2022",1,92,39,53,"0.17",""
"1950-2022",2,93,51,42,"0.41",""
"1950-2022",3,93,48,45,"0.84",""
"1950-2022",4,93,56,37,"0.06",""
"1950-2022",5,93,51,42,"0.41",""
"1950-2022",6,93,56,37,"0.06",""
"1950-2022",7,93,53,40,"0.21",""
"1950-2022",8,93,53,40,"0.21",""
"1950-2022",9,91,53,38,"0.14",""
"1950-2022",10,92,49,43,"0.6",""
"1950-2022",11,92,50,42,"0.47",""
"1950-2022",12,92,54,38,"0.12",""
"1975-2022",1,101,52,49,"0.84",""
"1975-2022",2,101,54,47,"0.55",""
"1975-2022",3,102,56,46,"0.37",""
"1975-2022",4,103,53,50,"0.84",""
"1975-2022",5,103,53,50,"0.84",""
"1975-2022",6,102,51,51,"1",""
"1975-2022",7,102,54,48,"0.62",""
"1975-2022",8,102,46,56,"0.37",""
"1975-2022",9,102,49,53,"0.77",""
"1975-2022",10,103,54,49,"0.69",""
"1975-2022",11,102,56,46,"0.37",""
"1975-2022",12,101,63,38,"0.02",""
